obs_prob,estimator,mean,std,count
0.1,matcomplete,0.04450590695607188,0.005594074630269495,20
0.1,rbf_combined,0.06430798750648739,0.003742927285082135,20
0.1,rbf_paired,0.0700086399517327,0.004447886051642407,20
0.1,rbf_unpaired,0.07264139154853658,0.0028940289106926353,20
0.2,matcomplete,0.04150620645385311,0.004713715439833118,20
0.2,rbf_combined,0.057046297193653075,0.004343040669231506,20
0.2,rbf_paired,0.061633176257049005,0.00584225518680626,20
0.2,rbf_unpaired,0.06374521560485022,0.0061472606323750584,20
0.3,matcomplete,0.04037975162038436,0.005253371574584964,20
0.3,rbf_combined,0.05200971704084103,0.003960706952788398,20
0.3,rbf_paired,0.056975134897649146,0.004446617835439845,20
0.3,rbf_unpaired,0.05712437109770515,0.004823402127919761,20
0.5,matcomplete,0.036003631583752575,0.003873833343856131,20
0.5,rbf_combined,0.0459544257001301,0.004187054045809219,20
0.5,rbf_paired,0.05572257236108258,0.0036055841895128054,20
0.5,rbf_unpaired,0.05457740499356008,0.0032694934655548608,20
0.7,matcomplete,0.03396612092237898,0.004519299925396166,20
0.7,rbf_combined,0.03991126122581657,0.004944774029711045,20
0.7,rbf_paired,0.05879460548240465,0.006579692602812529,20
0.7,rbf_unpaired,0.05279557292107033,0.0034298441015375805,20
0.9,matcomplete,0.031337295354972074,0.007877117679773539,20
0.9,rbf_combined,0.03770038434500246,0.008265363536610141,20
0.9,rbf_paired,0.04240515408057492,0.009781021097701334,20
0.9,rbf_unpaired,0.05081427121001257,0.010217941464630358,20
