estimator,obs_prob,query_obs_prob,n_models,seed,predictor,mds_dim,bias_decomp,logit,mae
rbf_combined,0.3,1.0,10,18,knn,8,True,True,0.038990553767983466
matcomplete,0.3,1.0,10,18,na,0,True,True,0.07256300029220901
rbf_paired,0.3,1.0,10,19,knn,8,True,True,0.040306615772021534
rbf_unpaired,0.3,1.0,10,19,knn,8,True,True,0.04067119849568076
rbf_combined,0.3,1.0,10,19,knn,8,True,True,0.04077518156961463
matcomplete,0.3,1.0,10,19,na,0,True,True,0.048192482874160086
rbf_paired,0.3,1.0,20,0,knn,8,True,True,0.08202138636633928
rbf_unpaired,0.3,1.0,20,0,knn,8,True,True,0.08450953310621534
rbf_combined,0.3,1.0,20,0,knn,8,True,True,0.08105728728384508
matcomplete,0.3,1.0,20,0,na,0,True,True,0.0727605518219131
rbf_paired,0.3,1.0,20,1,knn,8,True,True,0.0566416425482721
rbf_unpaired,0.3,1.0,20,1,knn,8,True,True,0.055099592612014144
rbf_combined,0.3,1.0,20,1,knn,8,True,True,0.05090776852729917
matcomplete,0.3,1.0,20,1,na,0,True,True,0.05643404476533722
rbf_paired,0.3,1.0,20,2,knn,8,True,True,0.05998513000459026
rbf_unpaired,0.3,1.0,20,2,knn,8,True,True,0.06186483053132962
rbf_combined,0.3,1.0,20,2,knn,8,True,True,0.05723154169910498
matcomplete,0.3,1.0,20,2,na,0,True,True,0.03784687569800797
rbf_paired,0.3,1.0,20,3,knn,8,True,True,0.06994615284346503
rbf_unpaired,0.3,1.0,20,3,knn,8,True,True,0.06892950554547524
rbf_combined,0.3,1.0,20,3,knn,8,True,True,0.062007430866276345
matcomplete,0.3,1.0,20,3,na,0,True,True,0.05054121540913508
rbf_paired,0.3,1.0,20,4,knn,8,True,True,0.055301012395687396
rbf_unpaired,0.3,1.0,20,4,knn,8,True,True,0.05749934934812521
rbf_combined,0.3,1.0,20,4,knn,8,True,True,0.05390715453820336
matcomplete,0.3,1.0,20,4,na,0,True,True,0.03336013397036987
rbf_paired,0.3,1.0,20,5,knn,8,True,True,0.07986868836685114
rbf_unpaired,0.3,1.0,20,5,knn,8,True,True,0.07551250418294544
rbf_combined,0.3,1.0,20,5,knn,8,True,True,0.07072177432309144
matcomplete,0.3,1.0,20,5,na,0,True,True,0.06223389703885897
rbf_paired,0.3,1.0,20,6,knn,8,True,True,0.0742323989320043
rbf_unpaired,0.3,1.0,20,6,knn,8,True,True,0.07595987892000118
rbf_combined,0.3,1.0,20,6,knn,8,True,True,0.07250153559937508
matcomplete,0.3,1.0,20,6,na,0,True,True,0.0625243328246396
rbf_paired,0.3,1.0,20,7,knn,8,True,True,0.05672581941840028
rbf_unpaired,0.3,1.0,20,7,knn,8,True,True,0.056812112656579684
rbf_combined,0.3,1.0,20,7,knn,8,True,True,0.055037138398255275
matcomplete,0.3,1.0,20,7,na,0,True,True,0.040899680351542234
rbf_paired,0.3,1.0,20,8,knn,8,True,True,0.05937774782687329
rbf_unpaired,0.3,1.0,20,8,knn,8,True,True,0.05867859925162044
rbf_combined,0.3,1.0,20,8,knn,8,True,True,0.049152700405414106
matcomplete,0.3,1.0,20,8,na,0,True,True,0.03063093102045004
rbf_paired,0.3,1.0,20,9,knn,8,True,True,0.05829487368357175
rbf_unpaired,0.3,1.0,20,9,knn,8,True,True,0.060843899279602716
rbf_combined,0.3,1.0,20,9,knn,8,True,True,0.05341968351943297
matcomplete,0.3,1.0,20,9,na,0,True,True,0.034108003220164974
rbf_paired,0.3,1.0,20,10,knn,8,True,True,0.061230096840706794
rbf_unpaired,0.3,1.0,20,10,knn,8,True,True,0.06122107564207315
rbf_combined,0.3,1.0,20,10,knn,8,True,True,0.05782160980599654
matcomplete,0.3,1.0,20,10,na,0,True,True,0.029954305367645942
rbf_paired,0.3,1.0,20,11,knn,8,True,True,0.05955055382805618
rbf_unpaired,0.3,1.0,20,11,knn,8,True,True,0.06458068611178772
rbf_combined,0.3,1.0,20,11,knn,8,True,True,0.05904173705152598
matcomplete,0.3,1.0,20,11,na,0,True,True,0.0544927832186641
rbf_paired,0.3,1.0,20,12,knn,8,True,True,0.042046350827083294
rbf_unpaired,0.3,1.0,20,12,knn,8,True,True,0.042892976427203404
rbf_combined,0.3,1.0,20,12,knn,8,True,True,0.04088459964596919
matcomplete,0.3,1.0,20,12,na,0,True,True,0.024827725935861255
rbf_paired,0.3,1.0,20,13,knn,8,True,True,0.06300226217782944
rbf_unpaired,0.3,1.0,20,13,knn,8,True,True,0.06438707960952803
rbf_combined,0.3,1.0,20,13,knn,8,True,True,0.06295661186958565
matcomplete,0.3,1.0,20,13,na,0,True,True,0.05220937226713669
rbf_paired,0.3,1.0,20,14,knn,8,True,True,0.046090244137696926
rbf_unpaired,0.3,1.0,20,14,knn,8,True,True,0.04629971728264541
rbf_combined,0.3,1.0,20,14,knn,8,True,True,0.04263770811553369
matcomplete,0.3,1.0,20,14,na,0,True,True,0.03613234125284352
rbf_paired,0.3,1.0,20,15,knn,8,True,True,0.07724524049159366
rbf_unpaired,0.3,1.0,20,15,knn,8,True,True,0.0787778266344256
rbf_combined,0.3,1.0,20,15,knn,8,True,True,0.07518570711883375
matcomplete,0.3,1.0,20,15,na,0,True,True,0.1046719541591392
rbf_paired,0.3,1.0,20,16,knn,8,True,True,0.0817757219255449
rbf_unpaired,0.3,1.0,20,16,knn,8,True,True,0.0814356888512737
rbf_combined,0.3,1.0,20,16,knn,8,True,True,0.08018663440815639
matcomplete,0.3,1.0,20,16,na,0,True,True,0.06886376579076899
rbf_paired,0.3,1.0,20,17,knn,8,True,True,0.09953386930038918
rbf_unpaired,0.3,1.0,20,17,knn,8,True,True,0.10141417381629099
rbf_combined,0.3,1.0,20,17,knn,8,True,True,0.09717510856411724
matcomplete,0.3,1.0,20,17,na,0,True,True,0.06713845850762294
rbf_paired,0.3,1.0,20,18,knn,8,True,True,0.047223889526250805
rbf_unpaired,0.3,1.0,20,18,knn,8,True,True,0.04929709044746315
rbf_combined,0.3,1.0,20,18,knn,8,True,True,0.045199764396580105
matcomplete,0.3,1.0,20,18,na,0,True,True,0.029659133081654063
rbf_paired,0.3,1.0,20,19,knn,8,True,True,0.07391323673047388
rbf_unpaired,0.3,1.0,20,19,knn,8,True,True,0.07003755160085369
rbf_combined,0.3,1.0,20,19,knn,8,True,True,0.0696686433059268
matcomplete,0.3,1.0,20,19,na,0,True,True,0.04680076704065848
rbf_paired,0.3,1.0,40,0,knn,8,True,True,0.052152831312220295
rbf_unpaired,0.3,1.0,40,0,knn,8,True,True,0.055019639016341396
rbf_combined,0.3,1.0,40,0,knn,8,True,True,0.05295225644134726
matcomplete,0.3,1.0,40,0,na,0,True,True,0.04144524195885123
rbf_paired,0.3,1.0,40,1,knn,8,True,True,0.055799119273466535
rbf_unpaired,0.3,1.0,40,1,knn,8,True,True,0.06219673664960356
rbf_combined,0.3,1.0,40,1,knn,8,True,True,0.058175693923970234
matcomplete,0.3,1.0,40,1,na,0,True,True,0.044267126646219
rbf_paired,0.3,1.0,40,2,knn,8,True,True,0.05814411638533545
rbf_unpaired,0.3,1.0,40,2,knn,8,True,True,0.06319759083725932
rbf_combined,0.3,1.0,40,2,knn,8,True,True,0.06007913008372852
matcomplete,0.3,1.0,40,2,na,0,True,True,0.0572537613951009
rbf_paired,0.3,1.0,40,3,knn,8,True,True,0.06405868310547896
rbf_unpaired,0.3,1.0,40,3,knn,8,True,True,0.06463840574020452
rbf_combined,0.3,1.0,40,3,knn,8,True,True,0.06204206434350026
matcomplete,0.3,1.0,40,3,na,0,True,True,0.06235476483914249
rbf_paired,0.3,1.0,40,4,knn,8,True,True,0.06023867831829574
rbf_unpaired,0.3,1.0,40,4,knn,8,True,True,0.05661044877880327
rbf_combined,0.3,1.0,40,4,knn,8,True,True,0.046066292995812184
matcomplete,0.3,1.0,40,4,na,0,True,True,0.04194386185127703
rbf_paired,0.3,1.0,40,5,knn,8,True,True,0.05663717033641352
rbf_unpaired,0.3,1.0,40,5,knn,8,True,True,0.06049637036737658
rbf_combined,0.3,1.0,40,5,knn,8,True,True,0.0561062751231084
matcomplete,0.3,1.0,40,5,na,0,True,True,0.056592984264289596
rbf_paired,0.3,1.0,40,6,knn,8,True,True,0.06754890157834353
rbf_unpaired,0.3,1.0,40,6,knn,8,True,True,0.07346315074970415
rbf_combined,0.3,1.0,40,6,knn,8,True,True,0.06222680851442856
matcomplete,0.3,1.0,40,6,na,0,True,True,0.05488820714741929
rbf_paired,0.3,1.0,40,7,knn,8,True,True,0.056653974443858876
rbf_unpaired,0.3,1.0,40,7,knn,8,True,True,0.05997245002082844
rbf_combined,0.3,1.0,40,7,knn,8,True,True,0.055510563976284226
matcomplete,0.3,1.0,40,7,na,0,True,True,0.048406884311472984
rbf_paired,0.3,1.0,40,8,knn,8,True,True,0.06720612555609079
rbf_unpaired,0.3,1.0,40,8,knn,8,True,True,0.06675029782307063
rbf_combined,0.3,1.0,40,8,knn,8,True,True,0.06018999651125287
matcomplete,0.3,1.0,40,8,na,0,True,True,0.07607596004811336
rbf_paired,0.3,1.0,40,9,knn,8,True,True,0.055752418445723824
rbf_unpaired,0.3,1.0,40,9,knn,8,True,True,0.06332829299530555
rbf_combined,0.3,1.0,40,9,knn,8,True,True,0.05331750518911351
matcomplete,0.3,1.0,40,9,na,0,True,True,0.03970314461285283
rbf_paired,0.3,1.0,40,10,knn,8,True,True,0.05009448224399848
rbf_unpaired,0.3,1.0,40,10,knn,8,True,True,0.04934566720403628
rbf_combined,0.3,1.0,40,10,knn,8,True,True,0.046813391362026
matcomplete,0.3,1.0,40,10,na,0,True,True,0.044751823147831195
rbf_paired,0.3,1.0,40,11,knn,8,True,True,0.061207931719456814
rbf_unpaired,0.3,1.0,40,11,knn,8,True,True,0.05980598344858332
rbf_combined,0.3,1.0,40,11,knn,8,True,True,0.05433775487946314
matcomplete,0.3,1.0,40,11,na,0,True,True,0.044113841647870085
rbf_paired,0.3,1.0,40,12,knn,8,True,True,0.052494160899853884
rbf_unpaired,0.3,1.0,40,12,knn,8,True,True,0.05065673604158131
rbf_combined,0.3,1.0,40,12,knn,8,True,True,0.044521825956147794
matcomplete,0.3,1.0,40,12,na,0,True,True,0.045118520796703095
rbf_paired,0.3,1.0,40,13,knn,8,True,True,0.06120515863915011
rbf_unpaired,0.3,1.0,40,13,knn,8,True,True,0.07255631047774273
rbf_combined,0.3,1.0,40,13,knn,8,True,True,0.05436252745801964
matcomplete,0.3,1.0,40,13,na,0,True,True,0.04532917645169124
rbf_paired,0.3,1.0,40,14,knn,8,True,True,0.07182497397813559
rbf_unpaired,0.3,1.0,40,14,knn,8,True,True,0.07952413953159819
rbf_combined,0.3,1.0,40,14,knn,8,True,True,0.07365385568682101
matcomplete,0.3,1.0,40,14,na,0,True,True,0.03918291700550127
rbf_paired,0.3,1.0,40,15,knn,8,True,True,0.051589036466858335
rbf_unpaired,0.3,1.0,40,15,knn,8,True,True,0.053432508054822095
rbf_combined,0.3,1.0,40,15,knn,8,True,True,0.046821123645376654
matcomplete,0.3,1.0,40,15,na,0,True,True,0.03625436239949223
rbf_paired,0.3,1.0,40,16,knn,8,True,True,0.06966980773336763
