estimator,obs_prob,query_obs_prob,n_models,seed,predictor,mds_dim,bias_decomp,logit,mae
rbf_unpaired,0.2,1.0,95,1,knn,8,True,True,0.062894316006841
rbf_combined,0.2,1.0,95,1,knn,8,True,True,0.053368786813837575
matcomplete,0.2,1.0,95,1,na,0,True,True,0.03767841165981643
rbf_paired,0.2,1.0,95,2,knn,8,True,True,0.06112419582099357
rbf_unpaired,0.2,1.0,95,2,knn,8,True,True,0.059809520508341554
rbf_combined,0.2,1.0,95,2,knn,8,True,True,0.0558661048948503
matcomplete,0.2,1.0,95,2,na,0,True,True,0.03978997703428422
rbf_paired,0.2,1.0,95,3,knn,8,True,True,0.053259042654647246
rbf_unpaired,0.2,1.0,95,3,knn,8,True,True,0.059989775249848644
rbf_combined,0.2,1.0,95,3,knn,8,True,True,0.05518744337600697
matcomplete,0.2,1.0,95,3,na,0,True,True,0.041381551144905715
rbf_paired,0.2,1.0,95,4,knn,8,True,True,0.06236165766583299
rbf_unpaired,0.2,1.0,95,4,knn,8,True,True,0.06444133731496855
rbf_combined,0.2,1.0,95,4,knn,8,True,True,0.05755995815232459
matcomplete,0.2,1.0,95,4,na,0,True,True,0.0419274964103013
rbf_paired,0.2,1.0,95,5,knn,8,True,True,0.06254443920193574
rbf_unpaired,0.2,1.0,95,5,knn,8,True,True,0.06855877501556025
rbf_combined,0.2,1.0,95,5,knn,8,True,True,0.05901582487012915
matcomplete,0.2,1.0,95,5,na,0,True,True,0.04028519325894476
rbf_paired,0.2,1.0,95,6,knn,8,True,True,0.05825779330206797
rbf_unpaired,0.2,1.0,95,6,knn,8,True,True,0.0597239800611933
rbf_combined,0.2,1.0,95,6,knn,8,True,True,0.05466776441537673
matcomplete,0.2,1.0,95,6,na,0,True,True,0.04607185692001453
rbf_paired,0.2,1.0,95,7,knn,8,True,True,0.05896709232491558
rbf_unpaired,0.2,1.0,95,7,knn,8,True,True,0.05928078111930249
rbf_combined,0.2,1.0,95,7,knn,8,True,True,0.05136302685794743
matcomplete,0.2,1.0,95,7,na,0,True,True,0.04016241783453407
rbf_paired,0.2,1.0,95,8,knn,8,True,True,0.0607970720441894
rbf_unpaired,0.2,1.0,95,8,knn,8,True,True,0.06157841642986029
rbf_combined,0.2,1.0,95,8,knn,8,True,True,0.05733399492880094
matcomplete,0.2,1.0,95,8,na,0,True,True,0.037172082894298276
rbf_paired,0.2,1.0,95,9,knn,8,True,True,0.051781673663649636
rbf_unpaired,0.2,1.0,95,9,knn,8,True,True,0.054463983930831864
rbf_combined,0.2,1.0,95,9,knn,8,True,True,0.05051014694850855
matcomplete,0.2,1.0,95,9,na,0,True,True,0.04076289540754338
rbf_paired,0.2,1.0,95,10,knn,8,True,True,0.0689190261783585
rbf_unpaired,0.2,1.0,95,10,knn,8,True,True,0.0678987072138394
rbf_combined,0.2,1.0,95,10,knn,8,True,True,0.0609705679288927
matcomplete,0.2,1.0,95,10,na,0,True,True,0.03285699431654843
rbf_paired,0.2,1.0,95,11,knn,8,True,True,0.05666962605874408
rbf_unpaired,0.2,1.0,95,11,knn,8,True,True,0.05851567642329941
rbf_combined,0.2,1.0,95,11,knn,8,True,True,0.0597606550476596
matcomplete,0.2,1.0,95,11,na,0,True,True,0.04854493635598966
rbf_paired,0.2,1.0,95,12,knn,8,True,True,0.060164325768876425
rbf_unpaired,0.2,1.0,95,12,knn,8,True,True,0.058955473361419604
rbf_combined,0.2,1.0,95,12,knn,8,True,True,0.05283503152861664
matcomplete,0.2,1.0,95,12,na,0,True,True,0.041376674927365166
rbf_paired,0.2,1.0,95,13,knn,8,True,True,0.0638296261114174
rbf_unpaired,0.2,1.0,95,13,knn,8,True,True,0.07077444141371256
rbf_combined,0.2,1.0,95,13,knn,8,True,True,0.055155920864281484
