obs_prob,estimator,mean,std,count
0.1,rbf_combined,0.26174546796057263,0.00858637509196819,25
0.1,rbf_paired,0.30767780299055003,0.012232498371153162,25
0.1,rbf_unpaired,0.313487619257595,0.02030208421386096,25
0.2,rbf_combined,0.2634916683442483,0.008206928006012457,25
0.2,rbf_paired,0.30997247337399625,0.008549438718930383,25
0.2,rbf_unpaired,0.30912987563640915,0.00907462534075574,25
0.3,rbf_combined,0.2485214373298265,0.009848659894827154,25
0.3,rbf_paired,0.30720936117362974,0.00991199599058385,25
0.3,rbf_unpaired,0.30799622208263494,0.007983610090462827,25
0.5,rbf_combined,0.21542105384240032,0.013485881534994281,25
0.5,rbf_paired,0.3010445043871105,0.00972245238068414,25
0.5,rbf_unpaired,0.30576138264086744,0.00904786510812962,25
0.7,rbf_combined,0.181736037068803,0.012802892753973328,25
0.7,rbf_paired,0.26474074797495384,0.02658047062864944,25
0.7,rbf_unpaired,0.3080193305382472,0.017320749915035263,25
0.9,rbf_combined,0.16441079103080927,0.022904466251391455,25
0.9,rbf_paired,0.17792769455131094,0.02443990295731934,25
0.9,rbf_unpaired,0.30177566595013844,0.035962065888196185,25
