estimator,obs_prob,seed,rmse
rbf_paired,0.2,16,0.30649536142787154
rbf_unpaired,0.2,16,0.31245888771300373
rbf_combined,0.2,16,0.285275418288544
rbf_paired,0.2,17,0.3141974096870094
rbf_unpaired,0.2,17,0.29887970825206783
rbf_combined,0.2,17,0.2559814822676953
rbf_paired,0.2,18,0.31849241349442625
rbf_unpaired,0.2,18,0.3173730389233449
rbf_combined,0.2,18,0.2569723176540386
rbf_paired,0.2,19,0.3086915399378884
rbf_unpaired,0.2,19,0.30772012775833213
rbf_combined,0.2,19,0.26436669600316137
rbf_paired,0.2,20,0.3100660806683096
rbf_unpaired,0.2,20,0.30921748188388765
rbf_combined,0.2,20,0.2600573784684153
rbf_paired,0.2,21,0.3152669602190954
rbf_unpaired,0.2,21,0.30641524219816135
rbf_combined,0.2,21,0.2641222210948113
rbf_paired,0.2,22,0.2995846029319969
rbf_unpaired,0.2,22,0.30114709943126117
rbf_combined,0.2,22,0.26096954838777875
rbf_paired,0.2,23,0.3037180986686469
rbf_unpaired,0.2,23,0.2937050420435915
rbf_combined,0.2,23,0.2634285312550864
rbf_paired,0.2,24,0.2970293670683274
rbf_unpaired,0.2,24,0.3112520036416015
rbf_combined,0.2,24,0.25888369568135317
rbf_paired,0.3,0,0.3198639411542549
rbf_unpaired,0.3,0,0.31004422922944697
rbf_combined,0.3,0,0.27305266888115565
rbf_paired,0.3,1,0.30951727208647123
rbf_unpaired,0.3,1,0.3173327945049775
rbf_combined,0.3,1,0.24817586550186285
rbf_paired,0.3,2,0.2922757201711208
rbf_unpaired,0.3,2,0.2957099763158131
rbf_combined,0.3,2,0.2364054603046626
rbf_paired,0.3,3,0.30982368137321287
rbf_unpaired,0.3,3,0.31717091000166175
rbf_combined,0.3,3,0.24353997046359227
rbf_paired,0.3,4,0.3056153901540114
rbf_unpaired,0.3,4,0.3001347425979547
rbf_combined,0.3,4,0.267309035566649
rbf_paired,0.3,5,0.30172449386571687
rbf_unpaired,0.3,5,0.3093377678410132
rbf_combined,0.3,5,0.2396037278281186
rbf_paired,0.3,6,0.3023419122824924
rbf_unpaired,0.3,6,0.30655470368961857
rbf_combined,0.3,6,0.25810978004629215
rbf_paired,0.3,7,0.3014193173185674
rbf_unpaired,0.3,7,0.3158729970423949
rbf_combined,0.3,7,0.24622989847636223
rbf_paired,0.3,8,0.30609252430538453
rbf_unpaired,0.3,8,0.3202832087514437
rbf_combined,0.3,8,0.24144426688629467
rbf_paired,0.3,9,0.2891638079333891
rbf_unpaired,0.3,9,0.2986451133740787
rbf_combined,0.3,9,0.24973778826864113
rbf_paired,0.3,10,0.2967193882559016
rbf_unpaired,0.3,10,0.3099855641028972
rbf_combined,0.3,10,0.2521944072782079
rbf_paired,0.3,11,0.3086579967844307
rbf_unpaired,0.3,11,0.3019336475075926
rbf_combined,0.3,11,0.24011505310465012
rbf_paired,0.3,12,0.3032392073499668
rbf_unpaired,0.3,12,0.30891270714031455
rbf_combined,0.3,12,0.2427304289500684
rbf_paired,0.3,13,0.32449219848426775
rbf_unpaired,0.3,13,0.31601267826937
rbf_combined,0.3,13,0.2489002065628912
rbf_paired,0.3,14,0.31306729456295423
rbf_unpaired,0.3,14,0.31051174494425915
rbf_combined,0.3,14,0.2328235174161253
rbf_paired,0.3,15,0.2969269627504256
rbf_unpaired,0.3,15,0.29030183481646027
rbf_combined,0.3,15,0.24079017876065859
rbf_paired,0.3,16,0.3269342000791913
rbf_unpaired,0.3,16,0.3161133536081003
rbf_combined,0.3,16,0.2532601517578878
rbf_paired,0.3,17,0.31345310676654814
rbf_unpaired,0.3,17,0.30990783521536314
rbf_combined,0.3,17,0.24330023418607832
rbf_paired,0.3,18,0.3155418058692578
rbf_unpaired,0.3,18,0.31099236612290104
rbf_combined,0.3,18,0.24980814949196073
rbf_paired,0.3,19,0.30598490030727854
rbf_unpaired,0.3,19,0.2979408888348293
rbf_combined,0.3,19,0.2542672408923947
rbf_paired,0.3,20,0.29477787320695925
rbf_unpaired,0.3,20,0.30806174941095205
rbf_combined,0.3,20,0.24281113030599524
rbf_paired,0.3,21,0.31921178595902205
rbf_unpaired,0.3,21,0.3114113138991748
rbf_combined,0.3,21,0.2477733260391847
rbf_paired,0.3,22,0.30636299157855307
rbf_unpaired,0.3,22,0.29942011030016447
rbf_combined,0.3,22,0.2397784614506231
rbf_paired,0.3,23,0.29909076359825654
rbf_unpaired,0.3,23,0.3172044565548986
rbf_combined,0.3,23,0.2664010852517326
rbf_paired,0.3,24,0.31793549314310837
rbf_unpaired,0.3,24,0.30010885799019243
rbf_combined,0.3,24,0.2544738995735725
rbf_paired,0.5,0,0.30548492881820916
rbf_unpaired,0.5,0,0.31240053844901
rbf_combined,0.5,0,0.2228492709917632
rbf_paired,0.5,1,0.30423086573073066
rbf_unpaired,0.5,1,0.3228737726257829
rbf_combined,0.5,1,0.21411454861095977
rbf_paired,0.5,2,0.3046947190878459
rbf_unpaired,0.5,2,0.29727857319909445
rbf_combined,0.5,2,0.21396574384093714
rbf_paired,0.5,3,0.3190029963089991
rbf_unpaired,0.5,3,0.31560181477870275
rbf_combined,0.5,3,0.2226389712902858
rbf_paired,0.5,4,0.3051644513278041
rbf_unpaired,0.5,4,0.314231236690685
