n_paired,n_unpaired,n_total,n_models,n_queries,seed,method,mae,c
2,14,16,95,678,10,sample,0.035481079927648734,
2,14,16,95,678,10,dkps,0.023565806078790014,
2,14,16,95,678,10,pkps,0.023268341844815056,0.049999999999999996
2,14,16,95,678,10,ens,0.019513899692882163,
2,14,16,95,678,11,sample,0.03519979487258285,
2,14,16,95,678,11,dkps,0.029250151144885637,
2,14,16,95,678,11,pkps,0.02855372228878844,0.1
2,14,16,95,678,11,ens,0.022811924007020378,
2,14,16,95,678,12,sample,0.03186213093605848,
2,14,16,95,678,12,dkps,0.02700379021826329,
2,14,16,95,678,12,pkps,0.02700379021835244,0.02
2,14,16,95,678,12,ens,0.020309656377144988,
2,14,16,95,678,13,sample,0.038514996023905804,
2,14,16,95,678,13,dkps,0.0266995158923424,
2,14,16,95,678,13,pkps,0.026699515892080607,0.02
2,14,16,95,678,13,ens,0.023111415650805888,
2,14,16,95,678,14,sample,0.03349438681068682,
2,14,16,95,678,14,dkps,0.02800412792789895,
2,14,16,95,678,14,pkps,0.028001123175560232,0.05
2,14,16,95,678,14,ens,0.021230535686803362,
2,14,16,95,678,15,sample,0.03408646339494605,
2,14,16,95,678,15,dkps,0.032611251547815426,
2,14,16,95,678,15,pkps,0.03260727675961002,0.05
2,14,16,95,678,15,ens,0.023523546048602604,
2,14,16,95,678,16,sample,0.035927797172355155,
2,14,16,95,678,16,dkps,0.04201210821681922,
2,14,16,95,678,16,pkps,0.04164965436907852,0.05
2,14,16,95,678,16,ens,0.03106574190630028,
2,14,16,95,678,17,sample,0.040080625930060496,
2,14,16,95,678,17,dkps,0.03199941070973565,
2,14,16,95,678,17,pkps,0.031491789194541715,0.1
2,14,16,95,678,17,ens,0.023224449960503667,
2,14,16,95,678,18,sample,0.031633919762648004,
2,14,16,95,678,18,dkps,0.033376529627186916,
2,14,16,95,678,18,pkps,0.03326316660867034,0.1
2,14,16,95,678,18,ens,0.023855598902316043,
2,14,16,95,678,19,sample,0.035257926520931376,
2,14,16,95,678,19,dkps,0.03990875743954986,
2,14,16,95,678,19,pkps,0.0399087574499122,0.02
2,14,16,95,678,19,ens,0.029029653467570006,
4,12,16,95,678,0,sample,0.033221375553741925,
4,12,16,95,678,0,dkps,0.03245390238595127,
4,12,16,95,678,0,pkps,0.03239287213169427,0.05
4,12,16,95,678,0,ens,0.024935270586930455,
4,12,16,95,678,1,sample,0.041928873047615084,
4,12,16,95,678,1,dkps,0.021431478180039917,
4,12,16,95,678,1,pkps,0.021346045104185977,0.1
4,12,16,95,678,1,ens,0.01888067654880633,
4,12,16,95,678,2,sample,0.03787477350263566,
4,12,16,95,678,2,dkps,0.03495672756229464,
4,12,16,95,678,2,pkps,0.03495672756700383,0.02
4,12,16,95,678,2,ens,0.028065512913332886,
4,12,16,95,678,3,sample,0.03419216354321287,
4,12,16,95,678,3,dkps,0.025180701296366577,
4,12,16,95,678,3,pkps,0.024366725818838746,0.09999999999999999
4,12,16,95,678,3,ens,0.01938196923412975,
4,12,16,95,678,4,sample,0.030074551403939827,
4,12,16,95,678,4,dkps,0.02254410576077995,
4,12,16,95,678,4,pkps,0.022514674996419053,0.05
4,12,16,95,678,4,ens,0.018899933362546705,
4,12,16,95,678,5,sample,0.03342288333493981,
4,12,16,95,678,5,dkps,0.025303480253403936,
4,12,16,95,678,5,pkps,0.02530348025353714,0.02
4,12,16,95,678,5,ens,0.02100058761372569,
4,12,16,95,678,6,sample,0.03703855299204573,
4,12,16,95,678,6,dkps,0.03733488053531911,
4,12,16,95,678,6,pkps,0.0372438858539807,0.05
4,12,16,95,678,6,ens,0.030671098714109682,
4,12,16,95,678,7,sample,0.03575075072059349,
4,12,16,95,678,7,dkps,0.02856723699421195,
4,12,16,95,678,7,pkps,0.02856297285857823,0.05
4,12,16,95,678,7,ens,0.0235307587596769,
4,12,16,95,678,8,sample,0.03930423645176493,
4,12,16,95,678,8,dkps,0.027428268158630136,
4,12,16,95,678,8,pkps,0.027428268161002224,0.02
4,12,16,95,678,8,ens,0.022738458062270015,
4,12,16,95,678,9,sample,0.03910192256454622,
4,12,16,95,678,9,dkps,0.025752062540978823,
4,12,16,95,678,9,pkps,0.025738123561437964,0.05
4,12,16,95,678,9,ens,0.023076255878806295,
4,12,16,95,678,10,sample,0.03518574646291142,
4,12,16,95,678,10,dkps,0.024496942283900314,
4,12,16,95,678,10,pkps,0.024496942276613917,0.02
4,12,16,95,678,10,ens,0.018673763369816816,
4,12,16,95,678,11,sample,0.038786662395622805,
4,12,16,95,678,11,dkps,0.026539622777671624,
4,12,16,95,678,11,pkps,0.026385933217834983,0.1
4,12,16,95,678,11,ens,0.022067334876209183,
4,12,16,95,678,12,sample,0.03829942442053232,
4,12,16,95,678,12,dkps,0.026406409422005044,
4,12,16,95,678,12,pkps,0.0264064095024461,0.02
4,12,16,95,678,12,ens,0.023587647128972242,
4,12,16,95,678,13,sample,0.05473334521890798,
4,12,16,95,678,13,dkps,0.027721161167927097,
4,12,16,95,678,13,pkps,0.02738743369563847,0.1
4,12,16,95,678,13,ens,0.024944259394971986,
4,12,16,95,678,14,sample,0.037528191971935555,
4,12,16,95,678,14,dkps,0.02682531187557112,
4,12,16,95,678,14,pkps,0.026823341099991065,0.05
4,12,16,95,678,14,ens,0.022179868036303476,
4,12,16,95,678,15,sample,0.036859315789072575,
4,12,16,95,678,15,dkps,0.02790414667302031,
4,12,16,95,678,15,pkps,0.02790414667046618,0.02
4,12,16,95,678,15,ens,0.02484413831144067,
4,12,16,95,678,16,sample,0.036206804145286965,
4,12,16,95,678,16,dkps,0.029895894777849093,
4,12,16,95,678,16,pkps,0.029815623156914293,0.05
4,12,16,95,678,16,ens,0.021808971782083315,
4,12,16,95,678,17,sample,0.03484663420793636,
4,12,16,95,678,17,dkps,0.02685346546157934,
4,12,16,95,678,17,pkps,0.026492964949375683,0.05
4,12,16,95,678,17,ens,0.022579695070010068,
4,12,16,95,678,18,sample,0.038265037113332165,
4,12,16,95,678,18,dkps,0.026091428275941207,
4,12,16,95,678,18,pkps,0.02609142827618543,0.02
4,12,16,95,678,18,ens,0.02206756014124871,
4,12,16,95,678,19,sample,0.03969219054496229,
4,12,16,95,678,19,dkps,0.03347559351791638,
4,12,16,95,678,19,pkps,0.03340345504178121,0.05
4,12,16,95,678,19,ens,0.027767016150531443,
8,8,16,95,678,0,sample,0.035960564161287775,
8,8,16,95,678,0,dkps,0.02684402920171144,
8,8,16,95,678,0,pkps,0.026404936851541203,0.1
8,8,16,95,678,0,ens,0.023412486512756504,
8,8,16,95,678,1,sample,0.04084842648792829,
8,8,16,95,678,1,dkps,0.022643289751351273,
8,8,16,95,678,1,pkps,0.02224384004630298,0.1
8,8,16,95,678,1,ens,0.020963706470234704,
8,8,16,95,678,2,sample,0.03262385254410297,
8,8,16,95,678,2,dkps,0.02570465088940631,
8,8,16,95,678,2,pkps,0.025704650889387583,0.02
