n_paired,n_unpaired,n_total,n_models,n_queries,seed,method,mae,c
2,0,2,95,437,1,irt,0.24432126720018432,
2,0,2,95,437,1,dkps,0.12487604577011542,
2,0,2,95,437,1,pkps,0.11896302312701543,2.0
2,0,2,95,437,1,ens,0.11779029893327035,
2,0,2,95,437,2,sample,0.19485728050102372,
2,0,2,95,437,2,irt,0.1774811310675432,
2,0,2,95,437,2,dkps,0.12894339105051866,
2,0,2,95,437,2,pkps,0.11816984981700797,5.0
2,0,2,95,437,2,ens,0.10346677836883443,
2,0,2,95,437,3,sample,0.21434421293508368,
2,0,2,95,437,3,irt,0.1894501673439489,
2,0,2,95,437,3,dkps,0.12574414778636922,
2,0,2,95,437,3,pkps,0.12354566702194088,0.5
2,0,2,95,437,3,ens,0.11512603633810581,
2,0,2,95,437,4,sample,0.2695772612308804,
2,0,2,95,437,4,irt,0.2506218114868288,
2,0,2,95,437,4,dkps,0.1269157957176478,
2,0,2,95,437,4,pkps,0.1269157907128629,0.2
2,0,2,95,437,4,ens,0.12427202340936801,
2,0,2,95,437,5,sample,0.22134168372877272,
2,0,2,95,437,5,irt,0.1978706007112076,
2,0,2,95,437,5,dkps,0.13373961277761764,
2,0,2,95,437,5,pkps,0.13269933394668468,5.0
2,0,2,95,437,5,ens,0.1254070421590747,
2,0,2,95,437,6,sample,0.2451041792123329,
2,0,2,95,437,6,irt,0.231380946867317,
2,0,2,95,437,6,dkps,0.09558701618824193,
2,0,2,95,437,6,pkps,0.09558701618824193,0.02
2,0,2,95,437,6,ens,0.0925539132525933,
2,0,2,95,437,7,sample,0.2350234854871733,
2,0,2,95,437,7,irt,0.1925490813518883,
2,0,2,95,437,7,dkps,0.13532347911573192,
2,0,2,95,437,7,pkps,0.1343528636635783,2.0
2,0,2,95,437,7,ens,0.1329071293877703,
2,0,2,95,437,8,sample,0.24200891244128628,
2,0,2,95,437,8,irt,0.2280673277488249,
2,0,2,95,437,8,dkps,0.11164643840431365,
2,0,2,95,437,8,pkps,0.10553188166160046,1.0
2,0,2,95,437,8,ens,0.10057143490203099,
2,0,2,95,437,9,sample,0.27624954835601584,
2,0,2,95,437,9,irt,0.26347483001628047,
2,0,2,95,437,9,dkps,0.13798626322637006,
2,0,2,95,437,9,pkps,0.13763284632653403,0.5
2,0,2,95,437,9,ens,0.13263848328913455,
