n_paired,n_unpaired,n_total,n_models,n_queries,seed,method,mae,c
2,0,2,95,678,10,sample,0.10704735703887194,
2,0,2,95,678,10,dkps,0.025190945801278265,
2,0,2,95,678,10,pkps,0.024957453332046093,2.0
2,0,2,95,678,10,ens,0.024528519908014187,
2,0,2,95,678,11,sample,0.05872042089605333,
2,0,2,95,678,11,dkps,0.02849794901522962,
2,0,2,95,678,11,pkps,0.028106527162334735,1.0
2,0,2,95,678,11,ens,0.02578041681600921,
2,0,2,95,678,12,sample,0.05548846842264839,
2,0,2,95,678,12,dkps,0.029112742723633622,
2,0,2,95,678,12,pkps,0.028428801322235943,5.0
2,0,2,95,678,12,ens,0.027259346699342987,
2,0,2,95,678,13,sample,0.1325402859760498,
2,0,2,95,678,13,dkps,0.026855084588637293,
2,0,2,95,678,13,pkps,0.026855084588637293,0.02
2,0,2,95,678,13,ens,0.026022612891646885,
2,0,2,95,678,14,sample,0.07266646680343411,
2,0,2,95,678,14,dkps,0.024973503059025234,
2,0,2,95,678,14,pkps,0.02490370514852,0.5
2,0,2,95,678,14,ens,0.02449515549937704,
2,0,2,95,678,15,sample,0.14189771593333877,
2,0,2,95,678,15,dkps,0.032298451647464387,
2,0,2,95,678,15,pkps,0.032298451647464387,0.02
2,0,2,95,678,15,ens,0.03202114778598539,
2,0,2,95,678,16,sample,0.19551775462165275,
2,0,2,95,678,16,dkps,0.03753711599706749,
2,0,2,95,678,16,pkps,0.03643882200791044,5.0
2,0,2,95,678,16,ens,0.03641211319220327,
2,0,2,95,678,17,sample,0.2392505999883916,
2,0,2,95,678,17,dkps,0.03340616419876726,
2,0,2,95,678,17,pkps,0.03294508380702731,2.0
2,0,2,95,678,17,ens,0.03294508380702731,
2,0,2,95,678,18,sample,0.069983093974006,
2,0,2,95,678,18,dkps,0.03175450656708664,
2,0,2,95,678,18,pkps,0.031185089587526957,1.0
2,0,2,95,678,18,ens,0.030424575896548924,
2,0,2,95,678,19,sample,0.09042026283865294,
2,0,2,95,678,19,dkps,0.03540865030720121,
2,0,2,95,678,19,pkps,0.03486403998316386,1.0
2,0,2,95,678,19,ens,0.03451558737375185,
4,0,4,95,678,0,sample,0.042284406149421215,
4,0,4,95,678,0,dkps,0.033638481865034896,
4,0,4,95,678,0,pkps,0.03143279505240504,5.0
4,0,4,95,678,0,ens,0.028991938407859342,
4,0,4,95,678,1,sample,0.13775235997229224,
4,0,4,95,678,1,dkps,0.022336267401331152,
4,0,4,95,678,1,pkps,0.022208780958443173,0.5
4,0,4,95,678,1,ens,0.022208780958443173,
4,0,4,95,678,2,sample,0.06691924608425426,
4,0,4,95,678,2,dkps,0.0322520257822793,
4,0,4,95,678,2,pkps,0.03065683607342138,1.0
4,0,4,95,678,2,ens,0.030135191169543024,
4,0,4,95,678,3,sample,0.06614615622237532,
4,0,4,95,678,3,dkps,0.02661287605312813,
4,0,4,95,678,3,pkps,0.025052323453340856,5.0
4,0,4,95,678,3,ens,0.02234925580973169,
4,0,4,95,678,4,sample,0.04510369147826342,
4,0,4,95,678,4,dkps,0.025797681820201805,
4,0,4,95,678,4,pkps,0.025798195653975835,0.02
4,0,4,95,678,4,ens,0.02187190789158838,
4,0,4,95,678,5,sample,0.06670734609092098,
4,0,4,95,678,5,dkps,0.027624186579864023,
4,0,4,95,678,5,pkps,0.025605699788705385,5.0
4,0,4,95,678,5,ens,0.02388613878362358,
4,0,4,95,678,6,sample,0.043123870834720246,
4,0,4,95,678,6,dkps,0.039714762951789044,
4,0,4,95,678,6,pkps,0.03795890110577399,1.0
4,0,4,95,678,6,ens,0.03512970098539797,
4,0,4,95,678,7,sample,0.033069078620779645,
4,0,4,95,678,7,dkps,0.03114124750712816,
4,0,4,95,678,7,pkps,0.0304782740939288,2.0
4,0,4,95,678,7,ens,0.0264731483160955,
4,0,4,95,678,8,sample,0.09749914463542941,
4,0,4,95,678,8,dkps,0.02389730345822117,
