n_paired,n_unpaired,n_total,n_models,n_queries,seed,method,mae,c
8,8,16,20,437,4,irt,0.09068044194635355,
8,8,16,20,437,4,dkps,0.15694164897768825,
8,8,16,20,437,4,pkps,0.1507891302755824,0.01
8,8,16,20,437,4,ens,0.07295480549199086,
8,8,16,20,437,5,sample,0.05266733409610984,
8,8,16,20,437,5,irt,0.07930658228064238,
8,8,16,20,437,5,dkps,0.06489869231285847,
8,8,16,20,437,5,pkps,0.0633874546497216,0.01
8,8,16,20,437,5,ens,0.046294227246310174,
8,8,16,20,437,6,sample,0.05233838672768879,
8,8,16,20,437,6,irt,0.09510872473363993,
8,8,16,20,437,6,dkps,0.19290599082969195,
8,8,16,20,437,6,pkps,0.1797602749704266,0.01
8,8,16,20,437,6,ens,0.049199564675987115,
8,8,16,20,437,7,sample,0.044729691075514874,
8,8,16,20,437,7,irt,0.13010254817261813,
8,8,16,20,437,7,dkps,0.17902340515969578,
8,8,16,20,437,7,pkps,0.09607209750023164,0.02
8,8,16,20,437,7,ens,0.03985112560846422,
8,8,16,20,437,8,sample,0.06937929061784898,
8,8,16,20,437,8,irt,0.06574159110071583,
8,8,16,20,437,8,dkps,0.16769839997559724,
8,8,16,20,437,8,pkps,0.15991889313818902,0.02
8,8,16,20,437,8,ens,0.0666328767985438,
8,8,16,20,437,9,sample,0.08522597254004577,
8,8,16,20,437,9,irt,0.11945292993195147,
8,8,16,20,437,9,dkps,0.16691471159464097,
8,8,16,20,437,9,pkps,0.1537073188688096,0.02
8,8,16,20,437,9,ens,0.06373429689960669,
8,8,16,20,437,10,sample,0.06641876430205947,
8,8,16,20,437,10,irt,0.09594969297032638,
8,8,16,20,437,10,dkps,0.127134137469741,
8,8,16,20,437,10,pkps,0.11549829278154577,0.02
8,8,16,20,437,10,ens,0.06354683002650521,
8,8,16,20,437,11,sample,0.06669765446224257,
8,8,16,20,437,11,irt,0.08131403571890244,
8,8,16,20,437,11,dkps,0.23073665478973693,
8,8,16,20,437,11,pkps,0.07773614561680528,0.02
8,8,16,20,437,11,ens,0.05217435071145382,
8,8,16,20,437,12,sample,0.08942362700228833,
8,8,16,20,437,12,irt,0.13865659740431127,
8,8,16,20,437,12,dkps,0.15207512457642347,
8,8,16,20,437,12,pkps,0.14295950597947274,0.02
8,8,16,20,437,12,ens,0.07558869137345896,
8,8,16,20,437,13,sample,0.09372139588100685,
8,8,16,20,437,13,irt,0.10318331147541607,
8,8,16,20,437,13,dkps,0.09808093806438387,
8,8,16,20,437,13,pkps,0.13873829677187915,0.01
8,8,16,20,437,13,ens,0.07706094187667759,
8,8,16,20,437,14,sample,0.05421195652173914,
8,8,16,20,437,14,irt,0.09280658993348359,
8,8,16,20,437,14,dkps,0.12311013355624131,
8,8,16,20,437,14,pkps,0.0861493005858838,0.04
8,8,16,20,437,14,ens,0.04640169656548722,
8,8,16,20,437,15,sample,0.06541762013729976,
8,8,16,20,437,15,irt,0.08336810218228072,
8,8,16,20,437,15,dkps,0.14845197025799658,
8,8,16,20,437,15,pkps,0.1697479354217091,0.01
8,8,16,20,437,15,ens,0.05898993292029855,
8,8,16,20,437,16,sample,0.05417620137299771,
8,8,16,20,437,16,irt,0.09031695383982184,
8,8,16,20,437,16,dkps,0.16230302057902427,
8,8,16,20,437,16,pkps,0.15342547236978965,0.02
8,8,16,20,437,16,ens,0.048219595463993126,
8,8,16,20,437,17,sample,0.08238701372997712,
8,8,16,20,437,17,irt,0.09615229186149697,
8,8,16,20,437,17,dkps,0.15811938585806312,
8,8,16,20,437,17,pkps,0.15091578560254978,0.01
8,8,16,20,437,17,ens,0.08013192167141345,
8,8,16,20,437,18,sample,0.056357265446224256,
8,8,16,20,437,18,irt,0.10585274465239462,
8,8,16,20,437,18,dkps,0.14164821039837167,
8,8,16,20,437,18,pkps,0.0821063647192913,0.02
8,8,16,20,437,18,ens,0.04489879971562021,
8,8,16,20,437,19,sample,0.08082808924485126,
8,8,16,20,437,19,irt,0.10963713574532755,
8,8,16,20,437,19,dkps,0.21355734609163698,
8,8,16,20,437,19,pkps,0.2193584683755903,0.02
8,8,16,20,437,19,ens,0.07757814013225679,
8,8,16,40,437,0,sample,0.08290188787185356,
8,8,16,40,437,0,irt,0.12059895247204452,
8,8,16,40,437,0,dkps,0.07792715598756753,
8,8,16,40,437,0,pkps,0.07860858696976222,0.01
8,8,16,40,437,0,ens,0.05612183490626634,
8,8,16,40,437,1,sample,0.06369422196796339,
8,8,16,40,437,1,irt,0.07436962641703604,
8,8,16,40,437,1,dkps,0.08719482162804904,
8,8,16,40,437,1,pkps,0.08147516812747091,0.02
8,8,16,40,437,1,ens,0.05386433496620528,
8,8,16,40,437,2,sample,0.10023598398169335,
8,8,16,40,437,2,irt,0.17648754237449596,
8,8,16,40,437,2,dkps,0.1010203658061076,
8,8,16,40,437,2,pkps,0.11367968672485737,0.01
8,8,16,40,437,2,ens,0.08409311752480142,
8,8,16,40,437,3,sample,0.0671195652173913,
8,8,16,40,437,3,irt,0.08500529980277896,
8,8,16,40,437,3,dkps,0.1199626891135293,
8,8,16,40,437,3,pkps,0.12196974548088665,0.01
8,8,16,40,437,3,ens,0.0576476096896098,
8,8,16,40,437,4,sample,0.08334167620137299,
8,8,16,40,437,4,irt,0.10457457084521223,
8,8,16,40,437,4,dkps,0.08565011355517453,
8,8,16,40,437,4,pkps,0.08863264598054876,0.04
8,8,16,40,437,4,ens,0.06681122286270083,
8,8,16,40,437,5,sample,0.05640017162471396,
8,8,16,40,437,5,irt,0.06887408975052263,
8,8,16,40,437,5,dkps,0.14499768212615663,
8,8,16,40,437,5,pkps,0.11275346473603629,0.04
8,8,16,40,437,5,ens,0.05078420303930675,
8,8,16,40,437,6,sample,0.07283681350114417,
8,8,16,40,437,6,irt,0.10078271227365757,
8,8,16,40,437,6,dkps,0.1121779326097356,
8,8,16,40,437,6,pkps,0.10692348171493896,0.01
8,8,16,40,437,6,ens,0.07015549355124816,
