obs_prob,query_obs_prob,estimator,mean,std,count
0.1,0.1,matcomplete,0.23153255269799078,0.024624709090575823,20
0.1,0.1,rbf_combined,0.21649858887265946,0.019056320884757946,20
0.1,0.1,rbf_paired,0.2091154499866545,0.019730167561831814,20
0.1,0.1,rbf_unpaired,0.2068845728035836,0.018774341112927643,20
0.1,0.3,matcomplete,0.15896595107582218,0.011472664844243313,20
0.1,0.3,rbf_combined,0.14635070526143218,0.01463212653023631,20
0.1,0.3,rbf_paired,0.1481956697043956,0.012212514118383878,20
0.1,0.3,rbf_unpaired,0.1487045273654327,0.01088545447866876,20
0.1,0.5,matcomplete,0.14202616549948383,0.013801893651148084,20
0.1,0.5,rbf_combined,0.13268182413929872,0.009158998225370798,20
0.1,0.5,rbf_paired,0.13717942634649008,0.00816655011024252,20
0.1,0.5,rbf_unpaired,0.13840695229626593,0.00712222151332583,20
0.1,1.0,matcomplete,0.12220961851130467,0.016651356829304166,20
0.1,1.0,rbf_combined,0.12177237358808031,0.006846927801650826,20
0.1,1.0,rbf_paired,0.12829282587008808,0.006864483042005609,20
0.1,1.0,rbf_unpaired,0.12947853197145157,0.0056407251749404285,20
0.2,0.1,matcomplete,0.21589030600800596,0.015210032331994753,20
0.2,0.1,rbf_combined,0.21980404004826065,0.014900666647932916,20
0.2,0.1,rbf_paired,0.21699265802729775,0.01409961185450796,20
0.2,0.1,rbf_unpaired,0.21223484617074898,0.014320081596551787,20
0.2,0.3,matcomplete,0.14234149407307903,0.013409868352398994,20
0.2,0.3,rbf_combined,0.13404621250820167,0.010794522096707768,20
0.2,0.3,rbf_paired,0.13849704376430072,0.011954108720916333,20
0.2,0.3,rbf_unpaired,0.13878677749264873,0.012147154123071602,20
0.2,0.5,matcomplete,0.1237991006866497,0.009159486381413567,20
0.2,0.5,rbf_combined,0.11702578365353469,0.007942542243175883,20
0.2,0.5,rbf_paired,0.12387302833564548,0.009870759079639456,20
0.2,0.5,rbf_unpaired,0.12436736578846945,0.011747989762218561,20
0.2,1.0,matcomplete,0.10896487164821297,0.007690337136986829,20
0.2,1.0,rbf_combined,0.10363249829303815,0.007230838276353543,20
0.2,1.0,rbf_paired,0.11091724634757234,0.0079815645015284,20
0.2,1.0,rbf_unpaired,0.11301343102797327,0.010031101517513207,20
0.3,0.1,matcomplete,0.2037112050303053,0.020486814854829633,20
0.3,0.1,rbf_combined,0.20978748816952214,0.017340795322144897,20
0.3,0.1,rbf_paired,0.21287662971739607,0.014955941325445712,20
0.3,0.1,rbf_unpaired,0.2118733928685324,0.01702905542950845,20
0.3,0.3,matcomplete,0.13284368498336951,0.015010588801402389,20
0.3,0.3,rbf_combined,0.1289182294491335,0.010607201369892101,20
0.3,0.3,rbf_paired,0.13936837181388184,0.01288403391495202,20
0.3,0.3,rbf_unpaired,0.14139803221190425,0.014149960776234448,20
0.3,0.5,matcomplete,0.11492611834541226,0.01436961865888133,20
0.3,0.5,rbf_combined,0.10620679491478338,0.005982550755349684,20
0.3,0.5,rbf_paired,0.11790171805710621,0.0095908463137763,20
0.3,0.5,rbf_unpaired,0.11923147418075102,0.011348715015319083,20
0.3,1.0,matcomplete,0.09743019366838254,0.011709836342126597,20
0.3,1.0,rbf_combined,0.09265138952950808,0.0038920605321530865,20
0.3,1.0,rbf_paired,0.10212565302467085,0.008205308787488345,20
0.3,1.0,rbf_unpaired,0.10339915552844672,0.007997524294821796,20
0.5,0.1,matcomplete,0.19633186157707166,0.012719245381311976,20
0.5,0.1,rbf_combined,0.20086286818118476,0.010651200089869754,20
0.5,0.1,rbf_paired,0.205124437058592,0.013806798629453726,20
0.5,0.1,rbf_unpaired,0.20162671574163057,0.014318942812841236,20
0.5,0.3,matcomplete,0.12103292491922346,0.008677473749900124,20
0.5,0.3,rbf_combined,0.11432686882081282,0.007959779791523762,20
0.5,0.3,rbf_paired,0.12362797260022376,0.007182510597329599,20
0.5,0.3,rbf_unpaired,0.1253187599580759,0.00788408464359773,20
0.5,0.5,matcomplete,0.10240066444805021,0.010886636291678345,20
0.5,0.5,rbf_combined,0.0927404131229447,0.005784012622718786,20
0.5,0.5,rbf_paired,0.10524549756548587,0.006045840756905777,20
0.5,0.5,rbf_unpaired,0.10792901572314087,0.005658461387254036,20
0.5,1.0,matcomplete,0.08623911227573834,0.006963764970069999,20
0.5,1.0,rbf_combined,0.07830882551082295,0.0041889367391385775,20
0.5,1.0,rbf_paired,0.09021310633517074,0.00488047141424109,20
0.5,1.0,rbf_unpaired,0.09399358025068479,0.005706889474661925,20
0.7,0.1,matcomplete,0.19513999600210985,0.018477451759548773,20
0.7,0.1,rbf_combined,0.18751810498998844,0.015019271427063783,20
0.7,0.1,rbf_paired,0.19368870575392677,0.01660767797831033,20
0.7,0.1,rbf_unpaired,0.19533013311871855,0.01810636678392705,20
0.7,0.3,matcomplete,0.10953126873583248,0.011009030249438154,20
0.7,0.3,rbf_combined,0.10417294310183023,0.008965340914757852,20
0.7,0.3,rbf_paired,0.11162289618364014,0.008710066472612051,20
0.7,0.3,rbf_unpaired,0.11878866385440043,0.00911785206253502,20
0.7,0.5,matcomplete,0.09519550327487314,0.009021872442804403,20
0.7,0.5,rbf_combined,0.08324507344231714,0.004232743018581635,20
0.7,0.5,rbf_paired,0.09231921184921318,0.00799382895605496,20
0.7,0.5,rbf_unpaired,0.10099106610591058,0.0088409946328721,20
0.7,1.0,matcomplete,0.0801148001896977,0.00685349634936566,20
0.7,1.0,rbf_combined,0.06951332107457676,0.0055367274653618905,20
0.7,1.0,rbf_paired,0.07862336342822457,0.007359374655979491,20
0.7,1.0,rbf_unpaired,0.08724109091830717,0.005750372941559995,20
0.9,0.1,matcomplete,0.18955161436163145,0.018863101593516004,20
0.9,0.1,rbf_combined,0.18171628798392547,0.019846006289885604,20
0.9,0.1,rbf_paired,0.18143834338235004,0.019983188319592223,20
0.9,0.1,rbf_unpaired,0.18770228912996645,0.022305682965300003,20
