estimator,obs_prob,query_obs_prob,n_models,seed,rmse
rbf_paired,0.3,0.2,95,7,0.2998207660619132
rbf_unpaired,0.3,0.2,95,7,0.31552655408789776
rbf_combined,0.3,0.2,95,7,0.249929209615924
rbf_paired,0.3,0.2,95,8,0.3036613949030014
rbf_unpaired,0.3,0.2,95,8,0.3106857579437274
rbf_combined,0.3,0.2,95,8,0.23771582575325473
rbf_paired,0.3,0.2,95,9,0.29398755045028147
rbf_unpaired,0.3,0.2,95,9,0.29648972868286977
rbf_combined,0.3,0.2,95,9,0.24949282532876713
rbf_paired,0.3,0.2,95,10,0.2987809177244662
rbf_unpaired,0.3,0.2,95,10,0.30460624358662747
rbf_combined,0.3,0.2,95,10,0.24396450780678344
rbf_paired,0.3,0.2,95,11,0.3079012386226757
rbf_unpaired,0.3,0.2,95,11,0.30705418597665596
rbf_combined,0.3,0.2,95,11,0.24620695371575577
rbf_paired,0.3,0.2,95,12,0.3033511353414977
rbf_unpaired,0.3,0.2,95,12,0.31679828834273616
rbf_combined,0.3,0.2,95,12,0.24779063166972468
rbf_paired,0.3,0.2,95,13,0.324885451394479
rbf_unpaired,0.3,0.2,95,13,0.31966865777087305
rbf_combined,0.3,0.2,95,13,0.25298876694048283
rbf_paired,0.3,0.2,95,14,0.3072545029236837
rbf_unpaired,0.3,0.2,95,14,0.3093132780473755
rbf_combined,0.3,0.2,95,14,0.2311390834126903
rbf_paired,0.3,0.2,95,15,0.2982561255003648
rbf_unpaired,0.3,0.2,95,15,0.3081575150463642
rbf_combined,0.3,0.2,95,15,0.23913596614307644
rbf_paired,0.3,0.2,95,16,0.3183518164548225
rbf_unpaired,0.3,0.2,95,16,0.317496771315524
rbf_combined,0.3,0.2,95,16,0.24991048449551348
rbf_paired,0.3,0.2,95,17,0.3119801593900791
rbf_unpaired,0.3,0.2,95,17,0.3053069855548611
rbf_combined,0.3,0.2,95,17,0.24417885514355628
rbf_paired,0.3,0.2,95,18,0.31227432558330454
rbf_unpaired,0.3,0.2,95,18,0.312541391454447
rbf_combined,0.3,0.2,95,18,0.25159827062838924
rbf_paired,0.3,0.2,95,19,0.3098289879007171
rbf_unpaired,0.3,0.2,95,19,0.30186799849185775
rbf_combined,0.3,0.2,95,19,0.2596862095421245
rbf_paired,0.3,0.2,95,20,0.2937445537184215
rbf_unpaired,0.3,0.2,95,20,0.3044771049279541
rbf_combined,0.3,0.2,95,20,0.25672811072590945
rbf_paired,0.3,0.2,95,21,0.31379870053782966
rbf_unpaired,0.3,0.2,95,21,0.30881670870676425
rbf_combined,0.3,0.2,95,21,0.24814898461857532
rbf_paired,0.3,0.2,95,22,0.3043437288086992
rbf_unpaired,0.3,0.2,95,22,0.2982100154448223
rbf_combined,0.3,0.2,95,22,0.2363542863914516
rbf_paired,0.3,0.2,95,23,0.2990496361472492
rbf_unpaired,0.3,0.2,95,23,0.31113457526556126
rbf_combined,0.3,0.2,95,23,0.2563099062662012
rbf_paired,0.3,0.2,95,24,0.31986483177303765
rbf_unpaired,0.3,0.2,95,24,0.30320001653381917
rbf_combined,0.3,0.2,95,24,0.24889541052121192
rbf_paired,0.3,0.3,95,0,0.3199903736391962
rbf_unpaired,0.3,0.3,95,0,0.31030569795275614
rbf_combined,0.3,0.3,95,0,0.26930495507735636
rbf_paired,0.3,0.3,95,1,0.312316326367842
rbf_unpaired,0.3,0.3,95,1,0.3194692992710137
rbf_combined,0.3,0.3,95,1,0.24029755183677626
rbf_paired,0.3,0.3,95,2,0.29371121225184216
rbf_unpaired,0.3,0.3,95,2,0.29977008424294843
rbf_combined,0.3,0.3,95,2,0.24388041184875808
rbf_paired,0.3,0.3,95,3,0.3097908345422507
rbf_unpaired,0.3,0.3,95,3,0.3145254813597598
rbf_combined,0.3,0.3,95,3,0.24739524588725376
rbf_paired,0.3,0.3,95,4,0.3026722249577016
rbf_unpaired,0.3,0.3,95,4,0.2983103539483096
rbf_combined,0.3,0.3,95,4,0.2615469109270128
rbf_paired,0.3,0.3,95,5,0.3053585659518212
rbf_unpaired,0.3,0.3,95,5,0.3090397880917917
rbf_combined,0.3,0.3,95,5,0.2427543816771422
rbf_paired,0.3,0.3,95,6,0.2987033674674886
rbf_unpaired,0.3,0.3,95,6,0.3079130221215065
rbf_combined,0.3,0.3,95,6,0.252450746112736
rbf_paired,0.3,0.3,95,7,0.30173577753475833
rbf_unpaired,0.3,0.3,95,7,0.3182447089973829
rbf_combined,0.3,0.3,95,7,0.2531673436637808
rbf_paired,0.3,0.3,95,8,0.30395533699164395
rbf_unpaired,0.3,0.3,95,8,0.31960806071250664
rbf_combined,0.3,0.3,95,8,0.2399865524757265
rbf_paired,0.3,0.3,95,9,0.2920894115534098
rbf_unpaired,0.3,0.3,95,9,0.3001020624513283
rbf_combined,0.3,0.3,95,9,0.252461670619726
rbf_paired,0.3,0.3,95,10,0.29696583356541284
rbf_unpaired,0.3,0.3,95,10,0.30345443032244057
rbf_combined,0.3,0.3,95,10,0.2524510700050259
rbf_paired,0.3,0.3,95,11,0.30742505769632716
rbf_unpaired,0.3,0.3,95,11,0.3053364894982197
rbf_combined,0.3,0.3,95,11,0.24286346288303426
rbf_paired,0.3,0.3,95,12,0.3012640597104087
rbf_unpaired,0.3,0.3,95,12,0.31475368570731105
rbf_combined,0.3,0.3,95,12,0.24674793852247837
rbf_paired,0.3,0.3,95,13,0.32549891963310695
rbf_unpaired,0.3,0.3,95,13,0.31482960004146837
rbf_combined,0.3,0.3,95,13,0.25086324235176655
rbf_paired,0.3,0.3,95,14,0.30964110408298795
rbf_unpaired,0.3,0.3,95,14,0.3118504324125951
rbf_combined,0.3,0.3,95,14,0.23607738236693254
rbf_paired,0.3,0.3,95,15,0.29773676936648846
rbf_unpaired,0.3,0.3,95,15,0.3052814055255071
rbf_combined,0.3,0.3,95,15,0.2387823985736436
rbf_paired,0.3,0.3,95,16,0.32245998243559054
rbf_unpaired,0.3,0.3,95,16,0.3154220061076193
rbf_combined,0.3,0.3,95,16,0.25068106729720396
rbf_paired,0.3,0.3,95,17,0.31153201266212244
rbf_unpaired,0.3,0.3,95,17,0.3075671872274101
rbf_combined,0.3,0.3,95,17,0.2445945541393559
rbf_paired,0.3,0.3,95,18,0.31555788529532314
rbf_unpaired,0.3,0.3,95,18,0.31341992635828675
rbf_combined,0.3,0.3,95,18,0.24723564708024476
rbf_paired,0.3,0.3,95,19,0.30783105281595513
rbf_unpaired,0.3,0.3,95,19,0.30072585940049595
rbf_combined,0.3,0.3,95,19,0.2552868560214275
rbf_paired,0.3,0.3,95,20,0.2941191090815627
rbf_unpaired,0.3,0.3,95,20,0.3047128428165846
rbf_combined,0.3,0.3,95,20,0.2496236488459406
rbf_paired,0.3,0.3,95,21,0.31720873714412906
rbf_unpaired,0.3,0.3,95,21,0.3091686125959297
rbf_combined,0.3,0.3,95,21,0.2438198709266301
rbf_paired,0.3,0.3,95,22,0.3060489266566269
rbf_unpaired,0.3,0.3,95,22,0.3007325009833457
rbf_combined,0.3,0.3,95,22,0.23979691876940024
rbf_paired,0.3,0.3,95,23,0.29995174300276467
rbf_unpaired,0.3,0.3,95,23,0.3145423157442903
rbf_combined,0.3,0.3,95,23,0.26056676854786837
rbf_paired,0.3,0.3,95,24,0.31931482729707394
rbf_unpaired,0.3,0.3,95,24,0.3024168142184178
rbf_combined,0.3,0.3,95,24,0.25272285108264964
rbf_paired,0.3,0.5,95,0,0.31867017804940845
rbf_unpaired,0.3,0.5,95,0,0.30958959614224574
rbf_combined,0.3,0.5,95,0,0.2635974708917767
rbf_paired,0.3,0.5,95,1,0.30919080832320106
rbf_unpaired,0.3,0.5,95,1,0.3181041896153893
rbf_combined,0.3,0.5,95,1,0.24066006646863672
rbf_paired,0.3,0.5,95,2,0.29539554595450146
rbf_unpaired,0.3,0.5,95,2,0.29951816330548975
rbf_combined,0.3,0.5,95,2,0.2394346987504951
rbf_paired,0.3,0.5,95,3,0.3085278237372993
rbf_unpaired,0.3,0.5,95,3,0.31495974515861525
rbf_combined,0.3,0.5,95,3,0.2410815515448188
rbf_paired,0.3,0.5,95,4,0.3054948550522965
rbf_unpaired,0.3,0.5,95,4,0.298722852036319
rbf_combined,0.3,0.5,95,4,0.26432287685501227
rbf_paired,0.3,0.5,95,5,0.30157559670329254
rbf_unpaired,0.3,0.5,95,5,0.3088168729404948
rbf_combined,0.3,0.5,95,5,0.23858862975929218
rbf_paired,0.3,0.5,95,6,0.3012609210543069
rbf_unpaired,0.3,0.5,95,6,0.3063508861452955
rbf_combined,0.3,0.5,95,6,0.25591914001831
rbf_paired,0.3,0.5,95,7,0.2978734982836738
rbf_unpaired,0.3,0.5,95,7,0.31470437314696614
rbf_combined,0.3,0.5,95,7,0.24503209713612797
rbf_paired,0.3,0.5,95,8,0.3018308771036446
rbf_unpaired,0.3,0.5,95,8,0.32143151263199277
rbf_combined,0.3,0.5,95,8,0.23901077786084818
rbf_paired,0.3,0.5,95,9,0.29364287838025754
rbf_unpaired,0.3,0.5,95,9,0.29734385055755197
rbf_combined,0.3,0.5,95,9,0.25244515487865554
rbf_paired,0.3,0.5,95,10,0.29469168864599715
rbf_unpaired,0.3,0.5,95,10,0.3093108912215251
rbf_combined,0.3,0.5,95,10,0.2517872096169736
