query_obs_prob,estimator,mean,std,count
0.1,rbf_combined,0.25318312437940954,0.008477543677396898,25
0.1,rbf_paired,0.3056376387283873,0.008650300674055419,25
0.1,rbf_unpaired,0.306489477821348,0.0070897949218074185,25
0.2,rbf_combined,0.24837155395241747,0.008316214270187638,25
0.2,rbf_paired,0.3065303177922867,0.009027514623180933,25
0.2,rbf_unpaired,0.3083065197150977,0.0070595691678410405,25
0.3,rbf_combined,0.24861437790159485,0.007868631185857034,25
0.3,rbf_paired,0.3069151780681534,0.009366140356468254,25
0.3,rbf_unpaired,0.30886010672436903,0.0065969970642662645,25
0.5,rbf_combined,0.2469474546349651,0.009297761646692338,25
0.5,rbf_paired,0.3070199334355436,0.009320739960103745,25
0.5,rbf_unpaired,0.30863436005046724,0.007551729905186747,25
0.7,rbf_combined,0.24599430921617751,0.010150891693104534,25
0.7,rbf_paired,0.30745344465508784,0.009998389323421139,25
0.7,rbf_unpaired,0.30838713049835736,0.007376209491441394,25
1.0,rbf_combined,0.24643927972330737,0.010323602264597177,25
1.0,rbf_paired,0.30732214297709115,0.009939149180775582,25
1.0,rbf_unpaired,0.3084321556324611,0.00750114994231358,25
