estimator,obs_prob,query_obs_prob,n_models,seed,predictor,mds_dim,bias_decomp,logit,mae
rbf_unpaired,0.3,1.0,10,21,knn,8,True,True,0.10422462658104309
rbf_combined,0.3,1.0,10,21,knn,8,True,True,0.10478437970252202
matcomplete,0.3,1.0,10,21,na,0,True,True,0.16314830175612685
rbf_paired,0.3,1.0,10,22,knn,8,True,True,0.1190852417423609
rbf_unpaired,0.3,1.0,10,22,knn,8,True,True,0.11859497949982532
rbf_combined,0.3,1.0,10,22,knn,8,True,True,0.11878800367036293
matcomplete,0.3,1.0,10,22,na,0,True,True,0.221734695043547
rbf_paired,0.3,1.0,10,23,knn,8,True,True,0.08957474969035756
rbf_unpaired,0.3,1.0,10,23,knn,8,True,True,0.09325320705311915
rbf_combined,0.3,1.0,10,23,knn,8,True,True,0.0912186026854808
matcomplete,0.3,1.0,10,23,na,0,True,True,0.2741284295570717
rbf_paired,0.3,1.0,10,24,knn,8,True,True,0.10090608521596868
rbf_unpaired,0.3,1.0,10,24,knn,8,True,True,0.10177189030655184
rbf_combined,0.3,1.0,10,24,knn,8,True,True,0.10364029070016866
matcomplete,0.3,1.0,10,24,na,0,True,True,0.1774484401484356
rbf_paired,0.3,1.0,20,0,knn,8,True,True,0.10556393405236376
rbf_unpaired,0.3,1.0,20,0,knn,8,True,True,0.10906294597231384
rbf_combined,0.3,1.0,20,0,knn,8,True,True,0.10486850851431359
matcomplete,0.3,1.0,20,0,na,0,True,True,0.13707843484772925
rbf_paired,0.3,1.0,20,1,knn,8,True,True,0.08682793336945059
rbf_unpaired,0.3,1.0,20,1,knn,8,True,True,0.08404448180515786
rbf_combined,0.3,1.0,20,1,knn,8,True,True,0.08060250314363987
matcomplete,0.3,1.0,20,1,na,0,True,True,0.16755930111790276
rbf_paired,0.3,1.0,20,2,knn,8,True,True,0.0990402894268453
rbf_unpaired,0.3,1.0,20,2,knn,8,True,True,0.10440217078021662
rbf_combined,0.3,1.0,20,2,knn,8,True,True,0.09636670509186221
matcomplete,0.3,1.0,20,2,na,0,True,True,0.17869998079474364
rbf_paired,0.3,1.0,20,3,knn,8,True,True,0.09555637279939702
rbf_unpaired,0.3,1.0,20,3,knn,8,True,True,0.09613747771786248
rbf_combined,0.3,1.0,20,3,knn,8,True,True,0.09319758091283403
matcomplete,0.3,1.0,20,3,na,0,True,True,0.14545667016927213
rbf_paired,0.3,1.0,20,4,knn,8,True,True,0.09611080350968063
rbf_unpaired,0.3,1.0,20,4,knn,8,True,True,0.09459920319849285
rbf_combined,0.3,1.0,20,4,knn,8,True,True,0.0904039955771606
matcomplete,0.3,1.0,20,4,na,0,True,True,0.15130808276635305
rbf_paired,0.3,1.0,20,5,knn,8,True,True,0.10757748769510977
rbf_unpaired,0.3,1.0,20,5,knn,8,True,True,0.11729559499892354
rbf_combined,0.3,1.0,20,5,knn,8,True,True,0.10317488016620487
matcomplete,0.3,1.0,20,5,na,0,True,True,0.16151169977151528
rbf_paired,0.3,1.0,20,6,knn,8,True,True,0.11159617515151499
rbf_unpaired,0.3,1.0,20,6,knn,8,True,True,0.11325014908255722
rbf_combined,0.3,1.0,20,6,knn,8,True,True,0.10983842827245284
matcomplete,0.3,1.0,20,6,na,0,True,True,0.157436038653303
rbf_paired,0.3,1.0,20,7,knn,8,True,True,0.11525892884108871
rbf_unpaired,0.3,1.0,20,7,knn,8,True,True,0.11069589515686738
rbf_combined,0.3,1.0,20,7,knn,8,True,True,0.11821344741606198
matcomplete,0.3,1.0,20,7,na,0,True,True,0.117723334980637
rbf_paired,0.3,1.0,20,8,knn,8,True,True,0.10045533466140626
rbf_unpaired,0.3,1.0,20,8,knn,8,True,True,0.10100610380665771
rbf_combined,0.3,1.0,20,8,knn,8,True,True,0.10010610273320686
matcomplete,0.3,1.0,20,8,na,0,True,True,0.10714461023677842
rbf_paired,0.3,1.0,20,9,knn,8,True,True,0.113855318802253
rbf_unpaired,0.3,1.0,20,9,knn,8,True,True,0.11390725525122564
rbf_combined,0.3,1.0,20,9,knn,8,True,True,0.11093885245808202
matcomplete,0.3,1.0,20,9,na,0,True,True,0.14111278241967512
rbf_paired,0.3,1.0,20,10,knn,8,True,True,0.1078076388528287
rbf_unpaired,0.3,1.0,20,10,knn,8,True,True,0.1126089164837583
rbf_combined,0.3,1.0,20,10,knn,8,True,True,0.10119395205619036
matcomplete,0.3,1.0,20,10,na,0,True,True,0.151033324371306
rbf_paired,0.3,1.0,20,11,knn,8,True,True,0.10132000670529576
rbf_unpaired,0.3,1.0,20,11,knn,8,True,True,0.1027298200013373
rbf_combined,0.3,1.0,20,11,knn,8,True,True,0.09879362396236674
matcomplete,0.3,1.0,20,11,na,0,True,True,0.12604882082877508
rbf_paired,0.3,1.0,20,12,knn,8,True,True,0.09133685782219232
rbf_unpaired,0.3,1.0,20,12,knn,8,True,True,0.09307199067545152
rbf_combined,0.3,1.0,20,12,knn,8,True,True,0.0916844110366627
matcomplete,0.3,1.0,20,12,na,0,True,True,0.1084032353630921
rbf_paired,0.3,1.0,20,13,knn,8,True,True,0.10815975001235895
rbf_unpaired,0.3,1.0,20,13,knn,8,True,True,0.110254574074138
rbf_combined,0.3,1.0,20,13,knn,8,True,True,0.10664430092882704
matcomplete,0.3,1.0,20,13,na,0,True,True,0.14459076026835485
rbf_paired,0.3,1.0,20,14,knn,8,True,True,0.09716967932617522
rbf_unpaired,0.3,1.0,20,14,knn,8,True,True,0.10083136194758503
rbf_combined,0.3,1.0,20,14,knn,8,True,True,0.09997433148045715
matcomplete,0.3,1.0,20,14,na,0,True,True,0.12340179962982757
rbf_paired,0.3,1.0,20,15,knn,8,True,True,0.08822477489898281
rbf_unpaired,0.3,1.0,20,15,knn,8,True,True,0.08701661033548531
rbf_combined,0.3,1.0,20,15,knn,8,True,True,0.09110005722450895
matcomplete,0.3,1.0,20,15,na,0,True,True,0.15733449198697808
rbf_paired,0.3,1.0,20,16,knn,8,True,True,0.09949833210319829
rbf_unpaired,0.3,1.0,20,16,knn,8,True,True,0.10102151319614878
rbf_combined,0.3,1.0,20,16,knn,8,True,True,0.09986647192901041
matcomplete,0.3,1.0,20,16,na,0,True,True,0.1813182743087289
