obs_prob,estimator,mean,std,count
0.1,matcomplete,0.12055002463630568,0.016833093162197436,25
0.1,rbf_combined,0.12036474137856397,0.007070153619110272,25
0.1,rbf_paired,0.12731181393416666,0.007271357367398377,25
0.1,rbf_unpaired,0.12852464200851105,0.006173094783365277,25
0.2,matcomplete,0.10705920363600935,0.008853177383997391,25
0.2,rbf_combined,0.10299617942647846,0.007352521002833812,25
0.2,rbf_paired,0.11043501775994134,0.008230889025087097,25
0.2,rbf_unpaired,0.11234718958682892,0.009583141884457433,25
0.3,matcomplete,0.09648727794041466,0.012373918168431926,25
0.3,rbf_combined,0.09220247602191314,0.004316450487584073,25
0.3,rbf_paired,0.10132273804216223,0.008006605664222162,25
0.3,rbf_unpaired,0.10335922524673576,0.007644942854172913,25
0.5,matcomplete,0.08522667502888223,0.006774074310647625,25
0.5,rbf_combined,0.07808482146344894,0.004034193562866824,25
0.5,rbf_paired,0.08952043945111976,0.005095148480049401,25
0.5,rbf_unpaired,0.09308958411524294,0.005767669526638484,25
0.7,matcomplete,0.07964163508525525,0.006575418675242475,25
0.7,rbf_combined,0.06938924251378169,0.005352980110009595,25
0.7,rbf_paired,0.0782857454083019,0.007201633981581686,25
0.7,rbf_unpaired,0.08724011657037872,0.006107871954930733,25
0.9,matcomplete,0.07482847980067313,0.01189237162488842,25
0.9,rbf_combined,0.05963808898032198,0.006504660657706722,25
0.9,rbf_paired,0.06255882260073276,0.0062600470056971905,25
0.9,rbf_unpaired,0.08873865529942025,0.012267755997131542,25
