alpha,mae
0.0,0.09561131480992793
0.02,0.09485700117046826
0.04,0.09412568039568328
0.06,0.09341546798835718
0.08,0.0927288503100523
0.1,0.09206957957575491
0.12,0.09143649055249618
0.14,0.09082801102301469
0.16,0.0902408494626432
0.18,0.08968004110234629
0.2,0.08914439325793086
0.22,0.08863115616796238
0.24,0.08814647038492844
0.26,0.08768874369806998
0.28,0.08725510288488902
0.3,0.0868473412330119
0.32,0.08646652734594869
0.34,0.0861174203608465
0.36,0.08580181924498212
0.38,0.08552211155416913
0.4,0.0852722612843829
0.42,0.08504991776715258
0.44,0.08485792104799933
0.46,0.08469413450612266
0.48,0.08455949161703627
0.5,0.0844539686712787
0.52,0.08437825208124586
0.54,0.08433702030894406
0.56,0.08432692290514196
0.58,0.08434895486826043
0.6,0.0844008909491627
0.62,0.08449157017779454
0.64,0.0846226357425783
0.66,0.08478934604495858
0.68,0.08498454539683666
0.7000000000000001,0.0852073561350417
0.72,0.08546181037327702
0.74,0.08574868828923939
0.76,0.08606604900076753
0.78,0.08641513427310753
0.8,0.08679327796595948
0.8200000000000001,0.08720213306094532
0.84,0.08764447971607753
0.86,0.0881115730560955
0.88,0.08861009480547505
0.9,0.08913298478865439
0.92,0.08967948609057766
0.9400000000000001,0.09025534364372807
0.96,0.09086091661454533
0.98,0.09149555578877977
1.0,0.09215065254202875
