mds_dim,predictor,estimator,mean,std,count
0,na,matcomplete,0.09648727794041467,0.012140111874099961,375
2,knn,rbf_combined,0.10021759556381367,0.004847837969352789,25
2,knn,rbf_paired,0.10278858211229475,0.007824468784036568,25
2,knn,rbf_unpaired,0.10204600416591311,0.0070114731880436,25
2,ols,rbf_combined,0.1088509164117193,0.008041017706113736,25
2,ols,rbf_paired,0.10408565507961547,0.009049638834008522,25
2,ols,rbf_unpaired,0.10409465300626244,0.008224555655640729,25
2,ridge,rbf_combined,0.1012589591327871,0.004995055677366357,25
2,ridge,rbf_paired,0.09956870602841789,0.005390392979770739,25
2,ridge,rbf_unpaired,0.0988182499513176,0.004988423206919725,25
4,knn,rbf_combined,0.09535217529782658,0.0048147821462584655,25
4,knn,rbf_paired,0.10050112744137994,0.006741929403762045,25
4,knn,rbf_unpaired,0.1034264462999356,0.008404249193715409,25
4,ols,rbf_combined,0.10805560862998945,0.008784268582731722,25
4,ols,rbf_paired,0.1048117971549229,0.01174352043813202,25
4,ols,rbf_unpaired,0.14280992292051964,0.04162644960764809,25
4,ridge,rbf_combined,0.10065746686670739,0.005001000529614399,25
4,ridge,rbf_paired,0.0967893877913753,0.005791426555591805,25
4,ridge,rbf_unpaired,0.09947860870407936,0.005835290411052498,25
8,knn,rbf_combined,0.09220247602191314,0.004316450487584073,25
8,knn,rbf_paired,0.10132273804216223,0.008006605664222162,25
8,knn,rbf_unpaired,0.10335922524673576,0.007644942854172913,25
8,ols,rbf_combined,0.10581103891787844,0.009432863389890585,25
8,ols,rbf_paired,0.16398288899545435,0.03349090797815316,25
8,ols,rbf_unpaired,0.23907208394586757,0.061683090251141645,25
8,ridge,rbf_combined,0.09982625091897283,0.004974295636752167,25
8,ridge,rbf_paired,0.09699460789265629,0.006798486963736375,25
8,ridge,rbf_unpaired,0.09952719876797474,0.005846906999808161,25
16,knn,rbf_combined,0.0913358675206349,0.004429111633691396,25
16,knn,rbf_paired,0.10288758592029311,0.009155818106859882,25
16,knn,rbf_unpaired,0.10426093259806114,0.007620140918915722,25
16,ols,rbf_combined,0.1523956476652974,0.02079246904689625,25
16,ols,rbf_paired,0.3952715400517905,0.04626754719903847,25
16,ols,rbf_unpaired,0.3606841914205177,0.05569817493424132,25
16,ridge,rbf_combined,0.09977550205024356,0.005016758997481923,25
16,ridge,rbf_paired,0.09962573296088108,0.007364929489119942,25
16,ridge,rbf_unpaired,0.10019401066010754,0.005855630968214105,25
32,knn,rbf_combined,0.09140638778618147,0.004429253166123972,25
32,knn,rbf_paired,0.10472836593836903,0.00973174674142643,25
32,knn,rbf_unpaired,0.10693533323670805,0.007798140724118215,25
32,ols,rbf_combined,0.2630741532604469,0.03435434546449694,25
32,ols,rbf_paired,0.47689749110197943,0.026571124275894496,25
32,ols,rbf_unpaired,0.45841733086852815,0.030698186796057222,25
32,ridge,rbf_combined,0.09978164563924324,0.005015924254316741,25
32,ridge,rbf_paired,0.09969450297081994,0.007123019770653506,25
32,ridge,rbf_unpaired,0.09980930291246945,0.005439366632609648,25
