m_p,m_u,seed,estimator,mse
25,50,35,pooled,0.024463690183274624
25,50,36,paired,0.007428246392327491
25,50,36,unpaired,0.055795602822639644
25,50,36,combined,0.026843590203740757
25,50,36,pooled,0.031955241238305426
25,50,37,paired,0.022120339341043363
25,50,37,unpaired,0.03834974991576478
25,50,37,combined,0.020409588763497875
25,50,37,pooled,0.02319035513659978
25,50,38,paired,0.009866597154920534
25,50,38,unpaired,0.028833222530433668
25,50,38,combined,0.01332203403736012
25,50,38,pooled,0.013570571260689978
25,50,39,paired,0.007470337863499997
25,50,39,unpaired,0.030466314603654662
25,50,39,combined,0.014320709932651037
25,50,39,pooled,0.0155724132884658
