experiment,estimator,mae,seed,obs_prob
task_parity,rbf_combined,1.6427706669470694,33,0.1
task_parity,rbf_paired,1.9383410035740318,34,0.1
task_parity,rbf_unpaired,1.7761103900385065,34,0.1
task_parity,rbf_combined,1.674565714674959,34,0.1
task_parity,rbf_paired,1.7848330945044315,35,0.1
task_parity,rbf_unpaired,1.6213487044339585,35,0.1
task_parity,rbf_combined,1.4582776238536888,35,0.1
task_parity,rbf_paired,1.627696644676034,36,0.1
task_parity,rbf_unpaired,1.405777745803339,36,0.1
task_parity,rbf_combined,1.3382840582805327,36,0.1
task_parity,rbf_paired,1.7519616403704923,37,0.1
task_parity,rbf_unpaired,1.6793209206868702,37,0.1
task_parity,rbf_combined,1.4586662356738487,37,0.1
task_parity,rbf_paired,1.6237903694333955,38,0.1
task_parity,rbf_unpaired,1.4304157587764192,38,0.1
task_parity,rbf_combined,1.4024872161485786,38,0.1
task_parity,rbf_paired,1.8125042986635647,39,0.1
task_parity,rbf_unpaired,1.6818052817842937,39,0.1
task_parity,rbf_combined,1.6507606896969076,39,0.1
task_parity,rbf_paired,1.9673044490805394,40,0.1
task_parity,rbf_unpaired,1.9044776945287065,40,0.1
task_parity,rbf_combined,1.63799766600857,40,0.1
task_parity,rbf_paired,2.010973417338904,41,0.1
task_parity,rbf_unpaired,2.0537372184785223,41,0.1
task_parity,rbf_combined,1.785045610561814,41,0.1
task_parity,rbf_paired,1.9299838740133455,42,0.1
task_parity,rbf_unpaired,1.8243459897101628,42,0.1
task_parity,rbf_combined,1.669818560933901,42,0.1
task_parity,rbf_paired,1.8655248466868284,43,0.1
task_parity,rbf_unpaired,1.773853949911242,43,0.1
task_parity,rbf_combined,1.5113057800693492,43,0.1
task_parity,rbf_paired,1.7950719259123151,44,0.1
task_parity,rbf_unpaired,1.6579154867464667,44,0.1
task_parity,rbf_combined,1.565010302500302,44,0.1
task_parity,rbf_paired,2.1355711258458574,45,0.1
task_parity,rbf_unpaired,1.9859428417734133,45,0.1
task_parity,rbf_combined,1.6894096482671563,45,0.1
task_parity,rbf_paired,1.78553544353652,46,0.1
task_parity,rbf_unpaired,1.7270162426347802,46,0.1
task_parity,rbf_combined,1.5590252280179184,46,0.1
task_parity,rbf_paired,1.5843766224402243,47,0.1
task_parity,rbf_unpaired,1.5074864458956898,47,0.1
task_parity,rbf_combined,1.4171685306814026,47,0.1
task_parity,rbf_paired,1.8206544893187535,48,0.1
task_parity,rbf_unpaired,1.6619242055678414,48,0.1
task_parity,rbf_combined,1.5518266538194885,48,0.1
task_parity,rbf_paired,1.9086186114250592,49,0.1
task_parity,rbf_unpaired,1.7440396610389162,49,0.1
task_parity,rbf_combined,1.6211407229767787,49,0.1
task_parity,rbf_paired,1.726898527113473,0,0.2
task_parity,rbf_unpaired,1.3831532858070297,0,0.2
task_parity,rbf_combined,1.1583828534237155,0,0.2
