experiment,estimator,rmse,seed,n_models
n_models,rbf_combined,2.227179133561,43,10
n_models,rbf_paired,2.313432415742568,44,10
n_models,rbf_unpaired,2.255677088549506,44,10
n_models,rbf_combined,2.241885793363391,44,10
n_models,rbf_paired,2.435338881555064,45,10
n_models,rbf_unpaired,2.4042004530575256,45,10
n_models,rbf_combined,2.391582527163987,45,10
n_models,rbf_paired,2.477526610113143,46,10
n_models,rbf_unpaired,2.4630441511841923,46,10
n_models,rbf_combined,2.441203762669045,46,10
n_models,rbf_paired,2.451514241184188,47,10
n_models,rbf_unpaired,2.4761697729951693,47,10
n_models,rbf_combined,2.44443584316158,47,10
n_models,rbf_paired,2.135676564144573,48,10
n_models,rbf_unpaired,2.145815072888545,48,10
n_models,rbf_combined,2.135765786971928,48,10
n_models,rbf_paired,2.559072404969521,49,10
n_models,rbf_unpaired,2.506748690518848,49,10
n_models,rbf_combined,2.492739258665755,49,10
n_models,rbf_paired,2.0567104943069023,0,20
n_models,rbf_unpaired,2.034412980095936,0,20
n_models,rbf_combined,1.9669724553421792,0,20
n_models,rbf_paired,2.3799914898439503,1,20
n_models,rbf_unpaired,2.1507625548883293,1,20
n_models,rbf_combined,2.103191143747833,1,20
n_models,rbf_paired,2.2208671824303465,2,20
n_models,rbf_unpaired,2.0998848970090664,2,20
n_models,rbf_combined,2.065399552728408,2,20
n_models,rbf_paired,2.726952766561722,3,20
n_models,rbf_unpaired,2.5951649427554067,3,20
n_models,rbf_combined,2.543050348426876,3,20
n_models,rbf_paired,2.200713598143162,4,20
n_models,rbf_unpaired,2.111726177132521,4,20
n_models,rbf_combined,2.091587459277576,4,20
n_models,rbf_paired,2.105053967271992,5,20
n_models,rbf_unpaired,1.9598565252402935,5,20
n_models,rbf_combined,1.945187485713337,5,20
n_models,rbf_paired,2.584045399671307,6,20
n_models,rbf_unpaired,2.5474334164498416,6,20
n_models,rbf_combined,2.5477948543106907,6,20
n_models,rbf_paired,1.718427216229688,7,20
n_models,rbf_unpaired,1.6747137093200228,7,20
n_models,rbf_combined,1.65741887887236,7,20
n_models,rbf_paired,2.412307242883798,8,20
n_models,rbf_unpaired,2.3453521658933254,8,20
n_models,rbf_combined,2.242975536950015,8,20
n_models,rbf_paired,2.396556735449652,9,20
n_models,rbf_unpaired,2.266548055419622,9,20
n_models,rbf_combined,2.2055523322429518,9,20
n_models,rbf_paired,2.1723730853771874,10,20
n_models,rbf_unpaired,2.1141666453372303,10,20
n_models,rbf_combined,2.0629545601481625,10,20
n_models,rbf_paired,1.9772457155616352,11,20
