experiment,estimator,mae,seed,n_tasks
n_tasks,rbf_paired,1.3950056675697604,35,5
n_tasks,rbf_unpaired,1.5963419083940416,35,5
n_tasks,rbf_combined,1.4740058619494256,35,5
n_tasks,rbf_paired,1.6834442259514524,36,5
n_tasks,rbf_unpaired,1.830095021947657,36,5
n_tasks,rbf_combined,1.275615541706504,36,5
n_tasks,rbf_paired,1.8935792765402826,37,5
n_tasks,rbf_unpaired,1.9751820043569892,37,5
n_tasks,rbf_combined,1.6317261429433902,37,5
n_tasks,rbf_paired,1.343169602224448,38,5
n_tasks,rbf_unpaired,1.3471944864844385,38,5
n_tasks,rbf_combined,1.0205302431776635,38,5
n_tasks,rbf_paired,1.8806211595171243,39,5
n_tasks,rbf_unpaired,1.8318874992629162,39,5
n_tasks,rbf_combined,1.5353030275466255,39,5
n_tasks,rbf_paired,1.92714062802126,40,5
n_tasks,rbf_unpaired,2.0854729186471173,40,5
n_tasks,rbf_combined,1.7157578204053272,40,5
n_tasks,rbf_paired,2.071772032181783,41,5
n_tasks,rbf_unpaired,2.1889598109764963,41,5
n_tasks,rbf_combined,1.6741720976220178,41,5
n_tasks,rbf_paired,1.886223305150667,42,5
n_tasks,rbf_unpaired,2.182964849137263,42,5
n_tasks,rbf_combined,1.8907802888281033,42,5
n_tasks,rbf_paired,1.5915049423062133,43,5
n_tasks,rbf_unpaired,1.7335654313367783,43,5
n_tasks,rbf_combined,1.370905963448829,43,5
n_tasks,rbf_paired,1.6379366648753078,44,5
n_tasks,rbf_unpaired,1.715024184873337,44,5
n_tasks,rbf_combined,1.1055191051991997,44,5
n_tasks,rbf_paired,2.1813189746349035,45,5
n_tasks,rbf_unpaired,2.3281297620708084,45,5
n_tasks,rbf_combined,1.7597423411034916,45,5
n_tasks,rbf_paired,1.8382738945604125,46,5
n_tasks,rbf_unpaired,1.9182008996347566,46,5
n_tasks,rbf_combined,1.5336116822708659,46,5
n_tasks,rbf_paired,1.5599847889808012,47,5
n_tasks,rbf_unpaired,1.6962886162572028,47,5
n_tasks,rbf_combined,1.4559775139703182,47,5
n_tasks,rbf_paired,1.6991970565977306,48,5
n_tasks,rbf_unpaired,1.7742833047875792,48,5
n_tasks,rbf_combined,1.4026621635314862,48,5
n_tasks,rbf_paired,2.0097404413852322,49,5
n_tasks,rbf_unpaired,2.0381128253564023,49,5
n_tasks,rbf_combined,1.838123920679314,49,5
n_tasks,rbf_paired,1.7469616601172067,0,10
n_tasks,rbf_unpaired,1.5423853586276988,0,10
n_tasks,rbf_combined,1.1457750704043244,0,10
n_tasks,rbf_paired,1.9139169612550866,1,10
n_tasks,rbf_unpaired,1.9911307992179963,1,10
n_tasks,rbf_combined,1.5686852230846178,1,10
n_tasks,rbf_paired,1.6028874491113494,2,10
n_tasks,rbf_unpaired,1.5255758177069463,2,10
n_tasks,rbf_combined,1.0841514845160363,2,10
n_tasks,rbf_paired,1.3388378206085854,3,10
n_tasks,rbf_unpaired,1.4790094244309449,3,10
n_tasks,rbf_combined,1.0143470809065487,3,10
n_tasks,rbf_paired,1.6315472536132303,4,10
n_tasks,rbf_unpaired,1.7039659512086482,4,10
n_tasks,rbf_combined,1.2919041387067591,4,10
n_tasks,rbf_paired,1.9765935312942062,5,10
n_tasks,rbf_unpaired,2.0318943153993496,5,10
n_tasks,rbf_combined,1.4666376662225904,5,10
n_tasks,rbf_paired,1.7340497082776622,6,10
n_tasks,rbf_unpaired,1.7109936402295192,6,10
n_tasks,rbf_combined,1.0609178743290102,6,10
n_tasks,rbf_paired,1.287229399961739,7,10
n_tasks,rbf_unpaired,1.2680497905435983,7,10
n_tasks,rbf_combined,0.9923433574195227,7,10
n_tasks,rbf_paired,1.9208023687071092,8,10
n_tasks,rbf_unpaired,1.8719796465483893,8,10
n_tasks,rbf_combined,1.331396479144785,8,10
n_tasks,rbf_paired,2.1249723784009777,9,10
n_tasks,rbf_unpaired,2.1893125209357165,9,10
n_tasks,rbf_combined,1.6577225004588896,9,10
n_tasks,rbf_paired,1.8920220045925906,10,10
n_tasks,rbf_unpaired,1.915010734899879,10,10
n_tasks,rbf_combined,1.2088549123836592,10,10
n_tasks,rbf_paired,1.5254853606909904,11,10
n_tasks,rbf_unpaired,1.5552695589311316,11,10
n_tasks,rbf_combined,1.091599312835151,11,10
n_tasks,rbf_paired,2.006264509440687,12,10
n_tasks,rbf_unpaired,1.9598292778951876,12,10
n_tasks,rbf_combined,1.5296987413142056,12,10
n_tasks,rbf_paired,2.1075574278501525,13,10
n_tasks,rbf_unpaired,2.2065837533807704,13,10
n_tasks,rbf_combined,1.5834920087366517,13,10
n_tasks,rbf_paired,1.739207037190121,14,10
n_tasks,rbf_unpaired,1.879501327520337,14,10
n_tasks,rbf_combined,1.4206868601487261,14,10
n_tasks,rbf_paired,1.9356719548887371,15,10
n_tasks,rbf_unpaired,2.017991788908321,15,10
n_tasks,rbf_combined,1.350953768829246,15,10
n_tasks,rbf_paired,1.439630568675628,16,10
n_tasks,rbf_unpaired,1.4327063993924705,16,10
n_tasks,rbf_combined,0.9891365089790649,16,10
n_tasks,rbf_paired,1.8460733022395683,17,10
n_tasks,rbf_unpaired,1.8945653578104198,17,10
n_tasks,rbf_combined,1.3449835989368566,17,10
n_tasks,rbf_paired,1.732482132766364,18,10
n_tasks,rbf_unpaired,1.7416519117165024,18,10
n_tasks,rbf_combined,1.2646395449000405,18,10
n_tasks,rbf_paired,1.9005630147915686,19,10
n_tasks,rbf_unpaired,2.0067005418152095,19,10
n_tasks,rbf_combined,1.4511378181022194,19,10
n_tasks,rbf_paired,1.9181750337856647,20,10
n_tasks,rbf_unpaired,1.8685853954955165,20,10
n_tasks,rbf_combined,1.3978560836071403,20,10
n_tasks,rbf_paired,1.7552398428697216,21,10
n_tasks,rbf_unpaired,1.762730683274681,21,10
n_tasks,rbf_combined,1.2545509958400605,21,10
n_tasks,rbf_paired,1.7880321330170208,22,10
n_tasks,rbf_unpaired,1.8163336566841153,22,10
n_tasks,rbf_combined,1.3445392122992808,22,10
n_tasks,rbf_paired,2.180912757661604,23,10
n_tasks,rbf_unpaired,1.9371111572361646,23,10
n_tasks,rbf_combined,1.5802177056367033,23,10
n_tasks,rbf_paired,1.9961366470102078,24,10
n_tasks,rbf_unpaired,1.949911558672936,24,10
n_tasks,rbf_combined,1.4275078340451473,24,10
n_tasks,rbf_paired,1.9544124334855317,25,10
n_tasks,rbf_unpaired,1.972892682223617,25,10
n_tasks,rbf_combined,1.310327049343128,25,10
n_tasks,rbf_paired,1.8379353812909154,26,10
n_tasks,rbf_unpaired,1.656070421717399,26,10
n_tasks,rbf_combined,1.1859421927030553,26,10
n_tasks,rbf_paired,1.5620681056067158,27,10
n_tasks,rbf_unpaired,1.6456083637577015,27,10
n_tasks,rbf_combined,0.9997557353251291,27,10
n_tasks,rbf_paired,1.6365908010632648,28,10
n_tasks,rbf_unpaired,1.6118374096927905,28,10
n_tasks,rbf_combined,1.123509491496163,28,10
n_tasks,rbf_paired,1.7626400014541856,29,10
n_tasks,rbf_unpaired,1.6308649391015875,29,10
n_tasks,rbf_combined,1.415076984493672,29,10
n_tasks,rbf_paired,1.8906285498819082,30,10
n_tasks,rbf_unpaired,1.9800708027294378,30,10
n_tasks,rbf_combined,1.2841291123948246,30,10
n_tasks,rbf_paired,1.838119470325577,31,10
n_tasks,rbf_unpaired,1.6283211990676103,31,10
n_tasks,rbf_combined,1.3224699352474008,31,10
n_tasks,rbf_paired,1.4383921208034829,32,10
n_tasks,rbf_unpaired,1.507597178420688,32,10
n_tasks,rbf_combined,0.944331287547938,32,10
n_tasks,rbf_paired,1.6110171682931471,33,10
n_tasks,rbf_unpaired,1.7023022911567869,33,10
n_tasks,rbf_combined,1.236583690062995,33,10
n_tasks,rbf_paired,2.013257175236769,34,10
n_tasks,rbf_unpaired,2.005079424458717,34,10
n_tasks,rbf_combined,1.6459535539436747,34,10
n_tasks,rbf_paired,1.6133872214611633,35,10
n_tasks,rbf_unpaired,1.6012184605729387,35,10
n_tasks,rbf_combined,1.1129976709652039,35,10
n_tasks,rbf_paired,1.6858275805115093,36,10
n_tasks,rbf_unpaired,1.6756015940392155,36,10
n_tasks,rbf_combined,1.2451804358755227,36,10
n_tasks,rbf_paired,1.5009648733402274,37,10
n_tasks,rbf_unpaired,1.3674057758242817,37,10
n_tasks,rbf_combined,0.9641752374696898,37,10
n_tasks,rbf_paired,1.5395956304742764,38,10
n_tasks,rbf_unpaired,1.5003596524126688,38,10
n_tasks,rbf_combined,1.0365035491241614,38,10
n_tasks,rbf_paired,1.875116878974503,39,10
n_tasks,rbf_unpaired,1.8593666346689277,39,10
n_tasks,rbf_combined,1.4963043782969778,39,10
n_tasks,rbf_paired,1.6524131966115287,40,10
n_tasks,rbf_unpaired,1.854560382452904,40,10
n_tasks,rbf_combined,1.2456229546770206,40,10
n_tasks,rbf_paired,1.823859942392641,41,10
n_tasks,rbf_unpaired,1.8653939332358604,41,10
n_tasks,rbf_combined,1.5186840262257448,41,10
n_tasks,rbf_paired,1.9439051677554067,42,10
n_tasks,rbf_unpaired,2.019782660260137,42,10
n_tasks,rbf_combined,1.4272990591186103,42,10
n_tasks,rbf_paired,1.695814682277937,43,10
n_tasks,rbf_unpaired,1.6929124378481575,43,10
