experiment,estimator,mae,seed,query_obs_prob
query_sparsity,rbf_unpaired,1.649265220976487,31,0.1
query_sparsity,rbf_combined,1.3004153109142036,31,0.1
query_sparsity,rbf_paired,1.6367994012874776,32,0.1
query_sparsity,rbf_unpaired,1.335223697379253,32,0.1
query_sparsity,rbf_combined,1.0282539675891083,32,0.1
query_sparsity,rbf_paired,1.8128047918853982,33,0.1
query_sparsity,rbf_unpaired,1.5537430228810991,33,0.1
query_sparsity,rbf_combined,1.1912444519935141,33,0.1
query_sparsity,rbf_paired,1.8352763863506365,34,0.1
query_sparsity,rbf_unpaired,1.295584636569008,34,0.1
query_sparsity,rbf_combined,1.225537073033412,34,0.1
query_sparsity,rbf_paired,1.8200693362384863,35,0.1
query_sparsity,rbf_unpaired,1.2317063185495147,35,0.1
query_sparsity,rbf_combined,1.1200828707735613,35,0.1
query_sparsity,rbf_paired,1.4796856367284876,36,0.1
query_sparsity,rbf_unpaired,1.1135859156938348,36,0.1
query_sparsity,rbf_combined,0.9738736071468244,36,0.1
query_sparsity,rbf_paired,1.6451076321866531,37,0.1
query_sparsity,rbf_unpaired,1.2709453337108811,37,0.1
query_sparsity,rbf_combined,1.1141819820110503,37,0.1
query_sparsity,rbf_paired,1.5792216418188316,38,0.1
query_sparsity,rbf_unpaired,1.2266888270690224,38,0.1
query_sparsity,rbf_combined,1.0178391802703555,38,0.1
query_sparsity,rbf_paired,1.8037006695830222,39,0.1
query_sparsity,rbf_unpaired,1.4083229537782638,39,0.1
query_sparsity,rbf_combined,1.2208391128450404,39,0.1
query_sparsity,rbf_paired,1.8627566891349139,40,0.1
query_sparsity,rbf_unpaired,1.534211307407594,40,0.1
query_sparsity,rbf_combined,1.2172217647425123,40,0.1
query_sparsity,rbf_paired,2.0505445817830585,41,0.1
query_sparsity,rbf_unpaired,1.486991913418213,41,0.1
query_sparsity,rbf_combined,1.3759699447350726,41,0.1
query_sparsity,rbf_paired,1.8110538465473955,42,0.1
query_sparsity,rbf_unpaired,1.41406673230202,42,0.1
query_sparsity,rbf_combined,1.2325850461385068,42,0.1
query_sparsity,rbf_paired,1.8450209287410018,43,0.1
query_sparsity,rbf_unpaired,1.2895304549330637,43,0.1
query_sparsity,rbf_combined,1.1145779006989593,43,0.1
query_sparsity,rbf_paired,1.8121916141996128,44,0.1
query_sparsity,rbf_unpaired,1.435485782956957,44,0.1
query_sparsity,rbf_combined,1.1705186876815397,44,0.1
query_sparsity,rbf_paired,1.9991142797019794,45,0.1
query_sparsity,rbf_unpaired,1.5972742292821833,45,0.1
query_sparsity,rbf_combined,1.450215063800489,45,0.1
query_sparsity,rbf_paired,1.75222426677716,46,0.1
query_sparsity,rbf_unpaired,1.4778652183569625,46,0.1
query_sparsity,rbf_combined,1.1839726493412877,46,0.1
query_sparsity,rbf_paired,1.6026144701086418,47,0.1
query_sparsity,rbf_unpaired,1.3643643773335747,47,0.1
query_sparsity,rbf_combined,1.0712605191931446,47,0.1
query_sparsity,rbf_paired,1.8689809718342039,48,0.1
query_sparsity,rbf_unpaired,1.379392370015891,48,0.1
query_sparsity,rbf_combined,1.2469945860449607,48,0.1
query_sparsity,rbf_paired,1.7053330284781603,49,0.1
query_sparsity,rbf_unpaired,1.2563227623252284,49,0.1
query_sparsity,rbf_combined,1.101853928621589,49,0.1
query_sparsity,rbf_paired,1.6509310196598639,0,0.2
query_sparsity,rbf_unpaired,1.217619721956009,0,0.2
query_sparsity,rbf_combined,1.1536870644770623,0,0.2
query_sparsity,rbf_paired,1.7660276617835748,1,0.2
query_sparsity,rbf_unpaired,1.4247432421787138,1,0.2
query_sparsity,rbf_combined,1.2891948968887834,1,0.2
query_sparsity,rbf_paired,1.678433619105957,2,0.2
query_sparsity,rbf_unpaired,1.3763701270445987,2,0.2
query_sparsity,rbf_combined,1.0476722664223812,2,0.2
query_sparsity,rbf_paired,1.6770853953974476,3,0.2
query_sparsity,rbf_unpaired,1.3456754204271273,3,0.2
query_sparsity,rbf_combined,1.1305953378693037,3,0.2
query_sparsity,rbf_paired,1.6960885443314624,4,0.2
query_sparsity,rbf_unpaired,1.31235251516542,4,0.2
query_sparsity,rbf_combined,1.1328112316361878,4,0.2
query_sparsity,rbf_paired,1.826491316854604,5,0.2
query_sparsity,rbf_unpaired,1.305729023650764,5,0.2
query_sparsity,rbf_combined,1.20557315695451,5,0.2
query_sparsity,rbf_paired,1.600975833637885,6,0.2
query_sparsity,rbf_unpaired,1.0821914812057192,6,0.2
query_sparsity,rbf_combined,1.0611649323080337,6,0.2
query_sparsity,rbf_paired,1.4206914447813368,7,0.2
query_sparsity,rbf_unpaired,1.1033179208559787,7,0.2
query_sparsity,rbf_combined,0.9054869107947294,7,0.2
query_sparsity,rbf_paired,1.8035403212220809,8,0.2
query_sparsity,rbf_unpaired,1.3868436768012533,8,0.2
query_sparsity,rbf_combined,1.2058098428633384,8,0.2
query_sparsity,rbf_paired,1.8634935635373164,9,0.2
query_sparsity,rbf_unpaired,1.5255556243502062,9,0.2
query_sparsity,rbf_combined,1.1939070867240325,9,0.2
query_sparsity,rbf_paired,1.678094158628264,10,0.2
query_sparsity,rbf_unpaired,1.222086985468492,10,0.2
query_sparsity,rbf_combined,1.1304525814762796,10,0.2
query_sparsity,rbf_paired,1.5183087799481096,11,0.2
query_sparsity,rbf_unpaired,1.1802330769740434,11,0.2
query_sparsity,rbf_combined,1.1142219990134323,11,0.2
query_sparsity,rbf_paired,1.824055930989043,12,0.2
query_sparsity,rbf_unpaired,1.7870527039131552,12,0.2
query_sparsity,rbf_combined,1.148400350140159,12,0.2
query_sparsity,rbf_paired,1.9508608173002158,13,0.2
query_sparsity,rbf_unpaired,1.5847589443866328,13,0.2
query_sparsity,rbf_combined,1.287080823607373,13,0.2
query_sparsity,rbf_paired,1.7744881614449224,14,0.2
query_sparsity,rbf_unpaired,1.272818509729932,14,0.2
query_sparsity,rbf_combined,1.177778476027498,14,0.2
query_sparsity,rbf_paired,1.6640047850723894,15,0.2
query_sparsity,rbf_unpaired,1.1291766950711795,15,0.2
query_sparsity,rbf_combined,1.1189292658518628,15,0.2
query_sparsity,rbf_paired,1.587873760605019,16,0.2
query_sparsity,rbf_unpaired,1.2214301108107015,16,0.2
query_sparsity,rbf_combined,1.0624555060490948,16,0.2
query_sparsity,rbf_paired,1.6718884126476607,17,0.2
query_sparsity,rbf_unpaired,1.339136700483261,17,0.2
query_sparsity,rbf_combined,1.093597128282722,17,0.2
query_sparsity,rbf_paired,1.937554440690768,18,0.2
query_sparsity,rbf_unpaired,1.4651789924611465,18,0.2
query_sparsity,rbf_combined,1.3723836287614546,18,0.2
query_sparsity,rbf_paired,1.8077370056500288,19,0.2
query_sparsity,rbf_unpaired,1.4499879905099726,19,0.2
query_sparsity,rbf_combined,1.2356554678747285,19,0.2
query_sparsity,rbf_paired,1.7894166347590443,20,0.2
query_sparsity,rbf_unpaired,1.326230553278757,20,0.2
query_sparsity,rbf_combined,1.1851617480405705,20,0.2
query_sparsity,rbf_paired,1.7955270403087835,21,0.2
query_sparsity,rbf_unpaired,1.5169910830993625,21,0.2
query_sparsity,rbf_combined,1.2177426239569342,21,0.2
query_sparsity,rbf_paired,1.9392517360150152,22,0.2
query_sparsity,rbf_unpaired,1.4531990984838998,22,0.2
query_sparsity,rbf_combined,1.2672293932905616,22,0.2
query_sparsity,rbf_paired,1.847029340309056,23,0.2
query_sparsity,rbf_unpaired,1.4356221232081758,23,0.2
query_sparsity,rbf_combined,1.1367082459336861,23,0.2
query_sparsity,rbf_paired,1.7714129550678375,24,0.2
query_sparsity,rbf_unpaired,1.3710118394943447,24,0.2
query_sparsity,rbf_combined,1.1763924691236487,24,0.2
query_sparsity,rbf_paired,1.8736333184663176,25,0.2
query_sparsity,rbf_unpaired,1.4073829536934317,25,0.2
query_sparsity,rbf_combined,1.3014423217902085,25,0.2
query_sparsity,rbf_paired,1.7491838651067162,26,0.2
query_sparsity,rbf_unpaired,1.3618606154042143,26,0.2
query_sparsity,rbf_combined,1.2292686885924986,26,0.2
query_sparsity,rbf_paired,1.6286775183298858,27,0.2
query_sparsity,rbf_unpaired,1.234361752449104,27,0.2
query_sparsity,rbf_combined,1.0795649418004871,27,0.2
query_sparsity,rbf_paired,1.7504178349273538,28,0.2
query_sparsity,rbf_unpaired,1.246552753507153,28,0.2
query_sparsity,rbf_combined,1.0825958073721231,28,0.2
query_sparsity,rbf_paired,1.5053929433682811,29,0.2
query_sparsity,rbf_unpaired,1.2419822898961081,29,0.2
query_sparsity,rbf_combined,1.121927594038231,29,0.2
query_sparsity,rbf_paired,1.7690629375249995,30,0.2
query_sparsity,rbf_unpaired,1.297791761853395,30,0.2
query_sparsity,rbf_combined,1.2168345892881873,30,0.2
query_sparsity,rbf_paired,1.9090475393143678,31,0.2
query_sparsity,rbf_unpaired,1.5018782720669674,31,0.2
query_sparsity,rbf_combined,1.264972623802835,31,0.2
query_sparsity,rbf_paired,1.6007535847440881,32,0.2
query_sparsity,rbf_unpaired,1.328643265347933,32,0.2
query_sparsity,rbf_combined,1.0453080533857781,32,0.2
query_sparsity,rbf_paired,1.764808030328949,33,0.2
query_sparsity,rbf_unpaired,1.4549448738234976,33,0.2
query_sparsity,rbf_combined,1.1988078713606996,33,0.2
query_sparsity,rbf_paired,1.8373279917759044,34,0.2
query_sparsity,rbf_unpaired,1.3464092948358761,34,0.2
query_sparsity,rbf_combined,1.24623183981035,34,0.2
query_sparsity,rbf_paired,1.8094811823302144,35,0.2
query_sparsity,rbf_unpaired,1.4386686009462528,35,0.2
query_sparsity,rbf_combined,1.1235369727863735,35,0.2
query_sparsity,rbf_paired,1.527624264462014,36,0.2
query_sparsity,rbf_unpaired,1.1289530398333865,36,0.2
query_sparsity,rbf_combined,0.9938261420368115,36,0.2
query_sparsity,rbf_paired,1.6060401168278131,37,0.2
query_sparsity,rbf_unpaired,1.1695089580199625,37,0.2
query_sparsity,rbf_combined,1.056635463861959,37,0.2
query_sparsity,rbf_paired,1.5722986718474412,38,0.2
query_sparsity,rbf_unpaired,1.282109387424701,38,0.2
query_sparsity,rbf_combined,0.9776047264045349,38,0.2
query_sparsity,rbf_paired,1.7948793416479998,39,0.2
query_sparsity,rbf_unpaired,1.320090042924356,39,0.2
query_sparsity,rbf_combined,1.2241526602128174,39,0.2
query_sparsity,rbf_paired,1.8845005358456957,40,0.2
query_sparsity,rbf_unpaired,1.476137115465512,40,0.2
query_sparsity,rbf_combined,1.190113855565499,40,0.2
query_sparsity,rbf_paired,2.066757512519153,41,0.2
query_sparsity,rbf_unpaired,1.45689979161935,41,0.2
query_sparsity,rbf_combined,1.3467405384880848,41,0.2
query_sparsity,rbf_paired,1.7590298188671576,42,0.2
query_sparsity,rbf_unpaired,1.2720671765141278,42,0.2
query_sparsity,rbf_combined,1.1737988838287559,42,0.2
query_sparsity,rbf_paired,1.850069091784385,43,0.2
query_sparsity,rbf_unpaired,1.2976585336415112,43,0.2
query_sparsity,rbf_combined,1.1093708081991198,43,0.2
query_sparsity,rbf_paired,1.75481238844095,44,0.2
query_sparsity,rbf_unpaired,1.4519350192715388,44,0.2
query_sparsity,rbf_combined,1.1591738561735394,44,0.2
query_sparsity,rbf_paired,1.9952147967266143,45,0.2
query_sparsity,rbf_unpaired,1.6143835199619774,45,0.2
query_sparsity,rbf_combined,1.4681152190266382,45,0.2
query_sparsity,rbf_paired,1.6954614364552012,46,0.2
query_sparsity,rbf_unpaired,1.3592193845224512,46,0.2
query_sparsity,rbf_combined,1.141076969177984,46,0.2
query_sparsity,rbf_paired,1.6371445473382162,47,0.2
query_sparsity,rbf_unpaired,1.351803039865627,47,0.2
query_sparsity,rbf_combined,1.0505759669218222,47,0.2
query_sparsity,rbf_paired,1.8146320973035197,48,0.2
query_sparsity,rbf_unpaired,1.382596613629749,48,0.2
query_sparsity,rbf_combined,1.246953406879713,48,0.2
query_sparsity,rbf_paired,1.6942164122895302,49,0.2
