experiment,estimator,seed,response_noise,n_queries_per_task,rmse
noise_x_queries,nq=10,43,0.1,10,1.4744671406584948
noise_x_queries,nq=10,44,0.1,10,1.5278724375844779
noise_x_queries,nq=10,45,0.1,10,1.9714043051290182
noise_x_queries,nq=10,46,0.1,10,1.512447220496889
noise_x_queries,nq=10,47,0.1,10,1.3449127052882255
noise_x_queries,nq=10,48,0.1,10,1.578398138457621
noise_x_queries,nq=10,49,0.1,10,1.4149875582489688
noise_x_queries,nq=50,0,0.1,50,1.437890349654697
noise_x_queries,nq=50,1,0.1,50,1.6715024418465094
noise_x_queries,nq=50,2,0.1,50,1.3388589964867272
noise_x_queries,nq=50,3,0.1,50,1.476486966836247
noise_x_queries,nq=50,4,0.1,50,1.4987033201114908
noise_x_queries,nq=50,5,0.1,50,1.5838600028234002
noise_x_queries,nq=50,6,0.1,50,1.4250581039676027
noise_x_queries,nq=50,7,0.1,50,1.2224984996692414
noise_x_queries,nq=50,8,0.1,50,1.602485216522986
noise_x_queries,nq=50,9,0.1,50,1.517249550352987
noise_x_queries,nq=50,10,0.1,50,1.5089592481827254
noise_x_queries,nq=50,11,0.1,50,1.4730506208759115
noise_x_queries,nq=50,12,0.1,50,1.5156929536333945
noise_x_queries,nq=50,13,0.1,50,1.7602636136759162
noise_x_queries,nq=50,14,0.1,50,1.5449595742850333
noise_x_queries,nq=50,15,0.1,50,1.4463599468810295
noise_x_queries,nq=50,16,0.1,50,1.3651425271599975
noise_x_queries,nq=50,17,0.1,50,1.4338067013757718
noise_x_queries,nq=50,18,0.1,50,1.8583887052980594
noise_x_queries,nq=50,19,0.1,50,1.6274635903698436
noise_x_queries,nq=50,20,0.1,50,1.5544603876238787
noise_x_queries,nq=50,21,0.1,50,1.6218979449008502
noise_x_queries,nq=50,22,0.1,50,1.65184137787796
noise_x_queries,nq=50,23,0.1,50,1.4616760695041482
noise_x_queries,nq=50,24,0.1,50,1.5660356514115523
noise_x_queries,nq=50,25,0.1,50,1.6545049675373578
noise_x_queries,nq=50,26,0.1,50,1.6051059030873547
noise_x_queries,nq=50,27,0.1,50,1.4292650266611684
noise_x_queries,nq=50,28,0.1,50,1.3426627467570167
noise_x_queries,nq=50,29,0.1,50,1.4640785695472527
noise_x_queries,nq=50,30,0.1,50,1.5633289013251506
noise_x_queries,nq=50,31,0.1,50,1.653533284429747
noise_x_queries,nq=50,32,0.1,50,1.3446722506524977
noise_x_queries,nq=50,33,0.1,50,1.5184383997181694
noise_x_queries,nq=50,34,0.1,50,1.606719669358835
noise_x_queries,nq=50,35,0.1,50,1.465039110429072
noise_x_queries,nq=50,36,0.1,50,1.2610627689272909
noise_x_queries,nq=50,37,0.1,50,1.484421453171009
noise_x_queries,nq=50,38,0.1,50,1.3679902118276357
noise_x_queries,nq=50,39,0.1,50,1.5913117172833753
noise_x_queries,nq=50,40,0.1,50,1.6303685950686904
noise_x_queries,nq=50,41,0.1,50,1.7102993279760206
noise_x_queries,nq=50,42,0.1,50,1.5895713074051139
noise_x_queries,nq=50,43,0.1,50,1.4782561518912465
noise_x_queries,nq=50,44,0.1,50,1.5259460147845378
noise_x_queries,nq=50,45,0.1,50,1.9593663927616345
noise_x_queries,nq=50,46,0.1,50,1.5113352833778364
noise_x_queries,nq=50,47,0.1,50,1.347398094301379
noise_x_queries,nq=50,48,0.1,50,1.5678587893689364
noise_x_queries,nq=50,49,0.1,50,1.4030496053096058
noise_x_queries,nq=3,0,0.5,3,1.4717492525707856
noise_x_queries,nq=3,1,0.5,3,1.6573344335260893
noise_x_queries,nq=3,2,0.5,3,1.3598687557395226
noise_x_queries,nq=3,3,0.5,3,1.5002027138912757
noise_x_queries,nq=3,4,0.5,3,1.5428444809754627
noise_x_queries,nq=3,5,0.5,3,1.597190368247168
noise_x_queries,nq=3,6,0.5,3,1.4528595868100878
noise_x_queries,nq=3,7,0.5,3,1.2586166493141762
noise_x_queries,nq=3,8,0.5,3,1.5935045580698963
noise_x_queries,nq=3,9,0.5,3,1.555242395799958
noise_x_queries,nq=3,10,0.5,3,1.5361578390432122
noise_x_queries,nq=3,11,0.5,3,1.513256597212543
noise_x_queries,nq=3,12,0.5,3,1.5688924713120054
noise_x_queries,nq=3,13,0.5,3,1.7712711479684984
noise_x_queries,nq=3,14,0.5,3,1.5410563648462143
noise_x_queries,nq=3,15,0.5,3,1.4314754807030456
noise_x_queries,nq=3,16,0.5,3,1.4035645450789591
noise_x_queries,nq=3,17,0.5,3,1.460364702678098
noise_x_queries,nq=3,18,0.5,3,1.8851764055842304
noise_x_queries,nq=3,19,0.5,3,1.6509098721918105
noise_x_queries,nq=3,20,0.5,3,1.5688893333114173
noise_x_queries,nq=3,21,0.5,3,1.6645766872049514
noise_x_queries,nq=3,22,0.5,3,1.6598883867663223
noise_x_queries,nq=3,23,0.5,3,1.4971016506928323
noise_x_queries,nq=3,24,0.5,3,1.5912739477255828
noise_x_queries,nq=3,25,0.5,3,1.6566058599193938
noise_x_queries,nq=3,26,0.5,3,1.6056244046336234
noise_x_queries,nq=3,27,0.5,3,1.447994988699144
noise_x_queries,nq=3,28,0.5,3,1.3821099207160343
noise_x_queries,nq=3,29,0.5,3,1.4529540369613205
noise_x_queries,nq=3,30,0.5,3,1.5985901396490558
noise_x_queries,nq=3,31,0.5,3,1.6900307442533933
noise_x_queries,nq=3,32,0.5,3,1.393039815302549
noise_x_queries,nq=3,33,0.5,3,1.5458908993155174
noise_x_queries,nq=3,34,0.5,3,1.648098264726796
noise_x_queries,nq=3,35,0.5,3,1.4555428199594227
noise_x_queries,nq=3,36,0.5,3,1.2970048451088403
noise_x_queries,nq=3,37,0.5,3,1.494907645916135
noise_x_queries,nq=3,38,0.5,3,1.3752129567143692
noise_x_queries,nq=3,39,0.5,3,1.5975279997623193
noise_x_queries,nq=3,40,0.5,3,1.659973627630817
noise_x_queries,nq=3,41,0.5,3,1.7247302923501093
noise_x_queries,nq=3,42,0.5,3,1.6019937198117293
noise_x_queries,nq=3,43,0.5,3,1.4943833123065435
noise_x_queries,nq=3,44,0.5,3,1.5399231971897387
noise_x_queries,nq=3,45,0.5,3,1.9670972361686117
noise_x_queries,nq=3,46,0.5,3,1.5399604565246579
noise_x_queries,nq=3,47,0.5,3,1.3557777737234318
noise_x_queries,nq=3,48,0.5,3,1.6002412271529936
noise_x_queries,nq=3,49,0.5,3,1.4261457987222588
noise_x_queries,nq=10,0,0.5,10,1.4499040639704839
noise_x_queries,nq=10,1,0.5,10,1.6849635330009762
noise_x_queries,nq=10,2,0.5,10,1.332907811629474
noise_x_queries,nq=10,3,0.5,10,1.480394408746665
noise_x_queries,nq=10,4,0.5,10,1.5121814386818155
noise_x_queries,nq=10,5,0.5,10,1.5719334481461473
noise_x_queries,nq=10,6,0.5,10,1.4502050267107574
noise_x_queries,nq=10,7,0.5,10,1.2249693432662823
noise_x_queries,nq=10,8,0.5,10,1.6138923511909176
noise_x_queries,nq=10,9,0.5,10,1.5453556379511701
noise_x_queries,nq=10,10,0.5,10,1.4942836732558396
noise_x_queries,nq=10,11,0.5,10,1.4667344509570632
noise_x_queries,nq=10,12,0.5,10,1.5279153800874592
noise_x_queries,nq=10,13,0.5,10,1.7702635144809677
noise_x_queries,nq=10,14,0.5,10,1.55341785485287
noise_x_queries,nq=10,15,0.5,10,1.4528977121633548
noise_x_queries,nq=10,16,0.5,10,1.3985582857873666
noise_x_queries,nq=10,17,0.5,10,1.4549765712282052
noise_x_queries,nq=10,18,0.5,10,1.8751015854180642
noise_x_queries,nq=10,19,0.5,10,1.6460908380033212
noise_x_queries,nq=10,20,0.5,10,1.5696476555992251
noise_x_queries,nq=10,21,0.5,10,1.6445794397941313
noise_x_queries,nq=10,22,0.5,10,1.6358226120154995
noise_x_queries,nq=10,23,0.5,10,1.4605315746328162
noise_x_queries,nq=10,24,0.5,10,1.5755613605280536
noise_x_queries,nq=10,25,0.5,10,1.6585141198674633
noise_x_queries,nq=10,26,0.5,10,1.6035747197864265
noise_x_queries,nq=10,27,0.5,10,1.4516612754129194
noise_x_queries,nq=10,28,0.5,10,1.3573313944159933
noise_x_queries,nq=10,29,0.5,10,1.4599000587335558
noise_x_queries,nq=10,30,0.5,10,1.5859266377000822
noise_x_queries,nq=10,31,0.5,10,1.6767939972544321
noise_x_queries,nq=10,32,0.5,10,1.3569323001595361
noise_x_queries,nq=10,33,0.5,10,1.5278393364078282
noise_x_queries,nq=10,34,0.5,10,1.6148187724611063
noise_x_queries,nq=10,35,0.5,10,1.469429300847928
noise_x_queries,nq=10,36,0.5,10,1.2500120957646659
noise_x_queries,nq=10,37,0.5,10,1.4821756586879395
noise_x_queries,nq=10,38,0.5,10,1.3928286790439233
noise_x_queries,nq=10,39,0.5,10,1.6227773936099645
noise_x_queries,nq=10,40,0.5,10,1.6318521149211966
noise_x_queries,nq=10,41,0.5,10,1.6863293454133212
noise_x_queries,nq=10,42,0.5,10,1.5894526723672033
noise_x_queries,nq=10,43,0.5,10,1.4719313356070376
noise_x_queries,nq=10,44,0.5,10,1.5315651140225606
noise_x_queries,nq=10,45,0.5,10,1.9735014849739991
noise_x_queries,nq=10,46,0.5,10,1.5104456727414
noise_x_queries,nq=10,47,0.5,10,1.3610169883107495
noise_x_queries,nq=10,48,0.5,10,1.5856901511321624
noise_x_queries,nq=10,49,0.5,10,1.4224979793207366
noise_x_queries,nq=50,0,0.5,50,1.4345677201225087
noise_x_queries,nq=50,1,0.5,50,1.6715594413814758
noise_x_queries,nq=50,2,0.5,50,1.33241192435151
noise_x_queries,nq=50,3,0.5,50,1.4784951357173097
noise_x_queries,nq=50,4,0.5,50,1.5038954134934792
noise_x_queries,nq=50,5,0.5,50,1.5843060286689725
noise_x_queries,nq=50,6,0.5,50,1.435275046032362
noise_x_queries,nq=50,7,0.5,50,1.2271457648546957
noise_x_queries,nq=50,8,0.5,50,1.6038424185086244
noise_x_queries,nq=50,9,0.5,50,1.5127211304338373
noise_x_queries,nq=50,10,0.5,50,1.510178964695859
noise_x_queries,nq=50,11,0.5,50,1.4564372802272771
noise_x_queries,nq=50,12,0.5,50,1.5179790131191881
noise_x_queries,nq=50,13,0.5,50,1.7690083134178445
noise_x_queries,nq=50,14,0.5,50,1.5505675394376541
noise_x_queries,nq=50,15,0.5,50,1.441207725220547
noise_x_queries,nq=50,16,0.5,50,1.3702838885892397
noise_x_queries,nq=50,17,0.5,50,1.4334303494532232
noise_x_queries,nq=50,18,0.5,50,1.863147612133279
noise_x_queries,nq=50,19,0.5,50,1.6336494862655602
noise_x_queries,nq=50,20,0.5,50,1.5594947117106965
noise_x_queries,nq=50,21,0.5,50,1.624045303655443
noise_x_queries,nq=50,22,0.5,50,1.656395917952542
noise_x_queries,nq=50,23,0.5,50,1.4666288507526783
noise_x_queries,nq=50,24,0.5,50,1.5628183593843101
noise_x_queries,nq=50,25,0.5,50,1.6511560712659934
noise_x_queries,nq=50,26,0.5,50,1.6050157705675578
noise_x_queries,nq=50,27,0.5,50,1.4306255478576781
noise_x_queries,nq=50,28,0.5,50,1.3466660743702834
noise_x_queries,nq=50,29,0.5,50,1.4622006878548188
noise_x_queries,nq=50,30,0.5,50,1.5673782399933744
noise_x_queries,nq=50,31,0.5,50,1.651974331008419
noise_x_queries,nq=50,32,0.5,50,1.3479651562050954
noise_x_queries,nq=50,33,0.5,50,1.5204287776119438
noise_x_queries,nq=50,34,0.5,50,1.6033447827450773
noise_x_queries,nq=50,35,0.5,50,1.4617799412435113
noise_x_queries,nq=50,36,0.5,50,1.2586533082526035
noise_x_queries,nq=50,37,0.5,50,1.4849478919832875
noise_x_queries,nq=50,38,0.5,50,1.3689895941268853
noise_x_queries,nq=50,39,0.5,50,1.5992262662653247
noise_x_queries,nq=50,40,0.5,50,1.6204221183986736
noise_x_queries,nq=50,41,0.5,50,1.7125580022885343
noise_x_queries,nq=50,42,0.5,50,1.5890632844006611
noise_x_queries,nq=50,43,0.5,50,1.4777639824649322
noise_x_queries,nq=50,44,0.5,50,1.5335156873623887
noise_x_queries,nq=50,45,0.5,50,1.9563613671255897
noise_x_queries,nq=50,46,0.5,50,1.5059005195450557
noise_x_queries,nq=50,47,0.5,50,1.3438114137157111
noise_x_queries,nq=50,48,0.5,50,1.5575291155847886
noise_x_queries,nq=50,49,0.5,50,1.4067407146938158
noise_x_queries,nq=3,0,1.0,3,1.4922146972566517
noise_x_queries,nq=3,1,1.0,3,1.6912626970489186
noise_x_queries,nq=3,2,1.0,3,1.4207118450898046
noise_x_queries,nq=3,3,1.0,3,1.5574658909816919
noise_x_queries,nq=3,4,1.0,3,1.5926616466612113
noise_x_queries,nq=3,5,1.0,3,1.6419949128557727
noise_x_queries,nq=3,6,1.0,3,1.4946248987385882
noise_x_queries,nq=3,7,1.0,3,1.2876122144233093
noise_x_queries,nq=3,8,1.0,3,1.6204742332070836
noise_x_queries,nq=3,9,1.0,3,1.6129804108740038
noise_x_queries,nq=3,10,1.0,3,1.5729972295103376
noise_x_queries,nq=3,11,1.0,3,1.5497149459681303
noise_x_queries,nq=3,12,1.0,3,1.6243573371009803
noise_x_queries,nq=3,13,1.0,3,1.803601192239369
noise_x_queries,nq=3,14,1.0,3,1.562504147899423
noise_x_queries,nq=3,15,1.0,3,1.472914739037994
noise_x_queries,nq=3,16,1.0,3,1.45313878746508
noise_x_queries,nq=3,17,1.0,3,1.5113494691620626
noise_x_queries,nq=3,18,1.0,3,1.9300580204577171
noise_x_queries,nq=3,19,1.0,3,1.6837287640602554
noise_x_queries,nq=3,20,1.0,3,1.605198735552058
noise_x_queries,nq=3,21,1.0,3,1.6867532109986518
noise_x_queries,nq=3,22,1.0,3,1.674103794326917
noise_x_queries,nq=3,23,1.0,3,1.5401952818604552
noise_x_queries,nq=3,24,1.0,3,1.6318665937199588
noise_x_queries,nq=3,25,1.0,3,1.677546048952021
noise_x_queries,nq=3,26,1.0,3,1.6450283164917545
noise_x_queries,nq=3,27,1.0,3,1.4729394514035898
noise_x_queries,nq=3,28,1.0,3,1.4475547998914096
noise_x_queries,nq=3,29,1.0,3,1.4932476149199643
noise_x_queries,nq=3,30,1.0,3,1.644650584651505
noise_x_queries,nq=3,31,1.0,3,1.7399724306130502
noise_x_queries,nq=3,32,1.0,3,1.457705988416285
noise_x_queries,nq=3,33,1.0,3,1.573118033471812
noise_x_queries,nq=3,34,1.0,3,1.6967106690052653
noise_x_queries,nq=3,35,1.0,3,1.4946490430600594
noise_x_queries,nq=3,36,1.0,3,1.327038518237728
noise_x_queries,nq=3,37,1.0,3,1.513563588933061
noise_x_queries,nq=3,38,1.0,3,1.4156682405090941
noise_x_queries,nq=3,39,1.0,3,1.6541565160765657
noise_x_queries,nq=3,40,1.0,3,1.7092562436253649
noise_x_queries,nq=3,41,1.0,3,1.7698847280054666
noise_x_queries,nq=3,42,1.0,3,1.6132764828120705
noise_x_queries,nq=3,43,1.0,3,1.5524510533971896
noise_x_queries,nq=3,44,1.0,3,1.5589599308688182
noise_x_queries,nq=3,45,1.0,3,1.982272500935409
noise_x_queries,nq=3,46,1.0,3,1.5602433070636228
noise_x_queries,nq=3,47,1.0,3,1.4019600087270612
noise_x_queries,nq=3,48,1.0,3,1.6527674300127093
noise_x_queries,nq=3,49,1.0,3,1.4796826113680528
noise_x_queries,nq=10,0,1.0,10,1.4757096695085565
noise_x_queries,nq=10,1,1.0,10,1.6892631308844688
noise_x_queries,nq=10,2,1.0,10,1.35388385054542
noise_x_queries,nq=10,3,1.0,10,1.5019743029918307
noise_x_queries,nq=10,4,1.0,10,1.512321787863815
noise_x_queries,nq=10,5,1.0,10,1.5794510167819082
noise_x_queries,nq=10,6,1.0,10,1.4522572532499918
noise_x_queries,nq=10,7,1.0,10,1.230285921261579
noise_x_queries,nq=10,8,1.0,10,1.6336132493114763
noise_x_queries,nq=10,9,1.0,10,1.558315428875192
noise_x_queries,nq=10,10,1.0,10,1.5153196932535031
noise_x_queries,nq=10,11,1.0,10,1.474207240859347
noise_x_queries,nq=10,12,1.0,10,1.5456244554707064
noise_x_queries,nq=10,13,1.0,10,1.793534296748485
noise_x_queries,nq=10,14,1.0,10,1.552619243196593
noise_x_queries,nq=10,15,1.0,10,1.472148536895059
noise_x_queries,nq=10,16,1.0,10,1.4074851805553577
noise_x_queries,nq=10,17,1.0,10,1.4633839146960828
noise_x_queries,nq=10,18,1.0,10,1.8780278918084616
noise_x_queries,nq=10,19,1.0,10,1.6410415755817158
noise_x_queries,nq=10,20,1.0,10,1.5809549608364966
noise_x_queries,nq=10,21,1.0,10,1.6539466735157242
noise_x_queries,nq=10,22,1.0,10,1.6445142136360347
noise_x_queries,nq=10,23,1.0,10,1.4681792003824594
noise_x_queries,nq=10,24,1.0,10,1.6058531231944857
noise_x_queries,nq=10,25,1.0,10,1.6888569079957558
noise_x_queries,nq=10,26,1.0,10,1.6019341192138028
noise_x_queries,nq=10,27,1.0,10,1.4653560025405623
noise_x_queries,nq=10,28,1.0,10,1.3810179152549829
noise_x_queries,nq=10,29,1.0,10,1.474120886370936
noise_x_queries,nq=10,30,1.0,10,1.611554853164329
noise_x_queries,nq=10,31,1.0,10,1.7048332972672806
noise_x_queries,nq=10,32,1.0,10,1.366570078160025
noise_x_queries,nq=10,33,1.0,10,1.5544182272298452
noise_x_queries,nq=10,34,1.0,10,1.6217723910712551
