experiment,estimator,rmse,seed,task_spread
task_spread,rbf_unpaired,0.18880107558189194,33,0.1
task_spread,rbf_combined,0.17026670189782217,33,0.1
task_spread,rbf_paired,0.24333431978108633,34,0.1
task_spread,rbf_unpaired,0.1832992447164401,34,0.1
task_spread,rbf_combined,0.17764993460796819,34,0.1
task_spread,rbf_paired,0.24374803795046876,35,0.1
task_spread,rbf_unpaired,0.1698052003302495,35,0.1
task_spread,rbf_combined,0.16288114883615748,35,0.1
task_spread,rbf_paired,0.2151259152317466,36,0.1
task_spread,rbf_unpaired,0.16133067294437564,36,0.1
task_spread,rbf_combined,0.15281024562844117,36,0.1
task_spread,rbf_paired,0.2344949257002434,37,0.1
task_spread,rbf_unpaired,0.1936579325705953,37,0.1
task_spread,rbf_combined,0.16311835671207014,37,0.1
task_spread,rbf_paired,0.22929482946523866,38,0.1
task_spread,rbf_unpaired,0.18782975889375544,38,0.1
task_spread,rbf_combined,0.16646089188996788,38,0.1
task_spread,rbf_paired,0.257150642876017,39,0.1
task_spread,rbf_unpaired,0.17736428179114172,39,0.1
task_spread,rbf_combined,0.17394611137496505,39,0.1
task_spread,rbf_paired,0.25699142473339115,40,0.1
task_spread,rbf_unpaired,0.18896189412416114,40,0.1
task_spread,rbf_combined,0.18034600142700108,40,0.1
task_spread,rbf_paired,0.26921918511515563,41,0.1
task_spread,rbf_unpaired,0.20208307414053273,41,0.1
task_spread,rbf_combined,0.18067057048731183,41,0.1
task_spread,rbf_paired,0.2554142093995366,42,0.1
task_spread,rbf_unpaired,0.18164418560780884,42,0.1
task_spread,rbf_combined,0.17449877776166411,42,0.1
task_spread,rbf_paired,0.23449510815972457,43,0.1
task_spread,rbf_unpaired,0.16993153559571816,43,0.1
task_spread,rbf_combined,0.1646053096793532,43,0.1
task_spread,rbf_paired,0.2514652818416441,44,0.1
task_spread,rbf_unpaired,0.21346488851861112,44,0.1
task_spread,rbf_combined,0.1750751874315398,44,0.1
task_spread,rbf_paired,0.2772509425253929,45,0.1
task_spread,rbf_unpaired,0.19153177592166104,45,0.1
task_spread,rbf_combined,0.18763719015989022,45,0.1
task_spread,rbf_paired,0.2464674216042848,46,0.1
task_spread,rbf_unpaired,0.203893206547349,46,0.1
task_spread,rbf_combined,0.17317196789214268,46,0.1
task_spread,rbf_paired,0.21523935441169811,47,0.1
task_spread,rbf_unpaired,0.17802937872641555,47,0.1
task_spread,rbf_combined,0.1600665811789056,47,0.1
task_spread,rbf_paired,0.25532558590872173,48,0.1
task_spread,rbf_unpaired,0.2016935825749352,48,0.1
task_spread,rbf_combined,0.17484582236918286,48,0.1
task_spread,rbf_paired,0.2447053186715908,49,0.1
task_spread,rbf_unpaired,0.1808927771843294,49,0.1
task_spread,rbf_combined,0.16612480145448907,49,0.1
task_spread,rbf_paired,0.5358599938497417,0,0.25
task_spread,rbf_unpaired,0.37298572662008084,0,0.25
task_spread,rbf_combined,0.3344904644220256,0,0.25
task_spread,rbf_paired,0.6083437935441365,1,0.25
task_spread,rbf_unpaired,0.4291764004714716,1,0.25
task_spread,rbf_combined,0.36448284317560664,1,0.25
task_spread,rbf_paired,0.5160831889199273,2,0.25
task_spread,rbf_unpaired,0.3742982999792033,2,0.25
task_spread,rbf_combined,0.3162485889701621,2,0.25
task_spread,rbf_paired,0.5417622237004568,3,0.25
task_spread,rbf_unpaired,0.4014105027064709,3,0.25
task_spread,rbf_combined,0.33778163526701205,3,0.25
task_spread,rbf_paired,0.5585485322299786,4,0.25
task_spread,rbf_unpaired,0.4220292897750791,4,0.25
task_spread,rbf_combined,0.35579476580627206,4,0.25
task_spread,rbf_paired,0.5571067102147207,5,0.25
task_spread,rbf_unpaired,0.3634376678383736,5,0.25
task_spread,rbf_combined,0.35732725644367147,5,0.25
task_spread,rbf_paired,0.5609567813567954,6,0.25
task_spread,rbf_unpaired,0.36181050782882535,6,0.25
task_spread,rbf_combined,0.34456988021154616,6,0.25
task_spread,rbf_paired,0.46040196209298845,7,0.25
task_spread,rbf_unpaired,0.33283799606654085,7,0.25
task_spread,rbf_combined,0.2873538396498326,7,0.25
task_spread,rbf_paired,0.5992480208014113,8,0.25
task_spread,rbf_unpaired,0.45007463583367047,8,0.25
task_spread,rbf_combined,0.37950180519160587,8,0.25
task_spread,rbf_paired,0.6040145910882002,9,0.25
task_spread,rbf_unpaired,0.4399540285839924,9,0.25
task_spread,rbf_combined,0.3579029020105476,9,0.25
task_spread,rbf_paired,0.6006441105189064,10,0.25
task_spread,rbf_unpaired,0.36336880966628043,10,0.25
task_spread,rbf_combined,0.3454283287882522,10,0.25
task_spread,rbf_paired,0.5202653791266534,11,0.25
task_spread,rbf_unpaired,0.3816133056965407,11,0.25
task_spread,rbf_combined,0.337663594635039,11,0.25
task_spread,rbf_paired,0.6055392137753116,12,0.25
