representation,target,n_rows,n_classes,balanced_accuracy,ci_low,ci_high,chance_balanced_accuracy,accuracy,majority_accuracy
openai_generic,system,2129,107,0.5600426299393343,0.5420429016007123,0.5770485598732031,0.009345794392523364,0.5608266791921089,0.009394081728511038
openai_generic,model,1191,36,0.5582746518782027,0.5288435756275341,0.5879795801866387,0.027777777777777776,0.43912678421494544,0.18387909319899245
openai_generic,vendor,1591,8,0.6109076022637565,0.5742349837494766,0.6520617320166892,0.125,0.5373978629792583,0.6115650534255186
openai_generic,harness,2069,61,0.7092907265206332,0.6951285180897148,0.723000949628435,0.01639344262295082,0.6713388110198163,0.07733204446592556
openai_generic,task,2129,20,0.9953182860165756,0.9905241495006242,0.9995414910323166,0.05,0.9953029591357445,0.050258337247534056
openai_generic,outcome,2129,2,0.8183315650837785,0.7975339034057006,0.8396998951989845,0.5,0.8248003757632691,0.5937059652418976
openai_qubric,system,2129,107,0.14375034158605235,0.12864915174136551,0.1580213969503197,0.009345794392523364,0.14372945044621888,0.009394081728511038
openai_qubric,model,1191,36,0.21938962844168924,0.1952918213158026,0.24787382228719945,0.027777777777777776,0.16288832913518053,0.18387909319899245
openai_qubric,vendor,1591,8,0.3083897728926271,0.27812401819091254,0.33890239125771304,0.125,0.33500942803268385,0.6115650534255186
openai_qubric,harness,2069,61,0.19943038313068948,0.18234469176450202,0.21970527741614054,0.01639344262295082,0.16674722087965202,0.07733204446592556
openai_qubric,task,2129,20,1.0,1.0,1.0,0.05,1.0,0.050258337247534056
openai_qubric,outcome,2129,2,0.8207969012950903,0.8019556956590765,0.8414330941949335,0.5,0.8290277125410991,0.5937059652418976
openai_raw,system,2129,107,0.8952423894627535,0.8833794454410719,0.9067745315046826,0.009345794392523364,0.896195396899953,0.009394081728511038
openai_raw,model,1191,36,0.8796336625869792,0.8665672543162224,0.891606710398541,0.027777777777777776,0.8690176322418136,0.18387909319899245
openai_raw,vendor,1591,8,0.9766572530100838,0.9691276830948818,0.9831124023683547,0.125,0.933375235700817,0.6115650534255186
openai_raw,harness,2069,61,0.9591535065931097,0.9500430671033023,0.9692296519988496,0.01639344262295082,0.9710004833252779,0.07733204446592556
openai_raw,task,2129,20,0.9981308411214954,0.9953383209745763,1.0,0.05,0.9981211836542978,0.050258337247534056
openai_raw,outcome,2129,2,0.8191227043242848,0.798788647527297,0.8403552241610045,0.5,0.8257397839361202,0.5937059652418976
nomic_generic,system,2129,107,0.4981308411214953,0.47434844024919354,0.52165336806144,0.009345794392523364,0.49882573978393613,0.009394081728511038
nomic_generic,model,1191,36,0.49984502488708216,0.47621640161321094,0.5237441387642142,0.027777777777777776,0.3979848866498741,0.18387909319899245
nomic_generic,vendor,1591,8,0.5523087818022523,0.51611591809743,0.5883996689893193,0.125,0.4217473287240729,0.6115650534255186
nomic_generic,harness,2069,61,0.6386813883708303,0.6146587828915856,0.6600889607091068,0.01639344262295082,0.5635572740454325,0.07733204446592556
nomic_generic,task,2129,20,0.995789984129783,0.9915813200280112,0.9995414910323166,0.05,0.9957726632221701,0.050258337247534056
nomic_generic,outcome,2129,2,0.8284325382307749,0.8069244290675615,0.8499552636055451,0.5,0.8341944574917802,0.5937059652418976
nomic_qubric,system,2129,107,0.09297972345193202,0.0803356595343499,0.1056135739465486,0.009345794392523364,0.09300140911225928,0.009394081728511038
nomic_qubric,model,1191,36,0.16644237017044036,0.1443581855725496,0.18768226628492526,0.027777777777777776,0.11502938706968933,0.18387909319899245
nomic_qubric,vendor,1591,8,0.28091428987288386,0.24273054588361712,0.3202031846350747,0.125,0.3274670018856065,0.6115650534255186
nomic_qubric,harness,2069,61,0.14549691491375175,0.1295989774449273,0.16194372177574015,0.01639344262295082,0.11744804253262446,0.07733204446592556
nomic_qubric,task,2129,20,1.0,1.0,1.0,0.05,1.0,0.050258337247534056
nomic_qubric,outcome,2129,2,0.8239614582571156,0.8049933089525219,0.844596875754484,0.5,0.8327853452325035,0.5937059652418976
nomic_raw,system,2129,107,0.832726676504345,0.8156199717959,0.8501490560972708,0.009345794392523364,0.833255049318929,0.009394081728511038
nomic_raw,model,1191,36,0.8108081548292735,0.7915476493951049,0.8324129081423752,0.027777777777777776,0.7581863979848866,0.18387909319899245
nomic_raw,vendor,1591,8,0.9075077965903349,0.8872134632999461,0.927484437388574,0.125,0.8177247014456317,0.6115650534255186
nomic_raw,harness,2069,61,0.9184418232686739,0.9022979831425088,0.9341269278831813,0.01639344262295082,0.9086515224746254,0.07733204446592556
nomic_raw,task,2129,20,0.9666591514052281,0.9493762811940266,0.9804291723470349,0.05,0.9666510098637858,0.050258337247534056
nomic_raw,outcome,2129,2,0.7860814370381211,0.7638502982114826,0.8095465749118784,0.5,0.7947393142320338,0.5937059652418976
