obs_prob,n_models,seed,method,mae,predictor,alpha
0.2,95,14,ensemble,0.042781302209703734,knn,0.2
0.2,95,15,combined,0.06799745138983754,knn,0.15000000000000002
0.2,95,15,matcomplete,0.04225221563947527,knn,0.15000000000000002
0.2,95,15,ensemble,0.04034764871329369,knn,0.15000000000000002
0.2,95,16,combined,0.05560982085910798,knn,0.30000000000000004
0.2,95,16,matcomplete,0.04279383497975078,knn,0.30000000000000004
0.2,95,16,ensemble,0.0392135567722208,knn,0.30000000000000004
0.2,95,17,combined,0.05779430340513281,knn,0.25
0.2,95,17,matcomplete,0.04061472453405839,knn,0.25
0.2,95,17,ensemble,0.039338395856305525,knn,0.25
0.2,95,18,combined,0.05533068388277204,knn,0.5
0.2,95,18,matcomplete,0.03658079258641251,knn,0.5
0.2,95,18,ensemble,0.03992461101349527,knn,0.5
0.2,95,19,combined,0.0620511790690456,knn,0.15000000000000002
0.2,95,19,matcomplete,0.054719543201514786,knn,0.15000000000000002
0.2,95,19,ensemble,0.04956392924345134,knn,0.15000000000000002
0.3,95,0,combined,0.05533845671833911,knn,0.2
0.3,95,0,matcomplete,0.04438642970955853,knn,0.2
0.3,95,0,ensemble,0.043025792086337056,knn,0.2
0.3,95,1,combined,0.04437176219738179,knn,0.05
0.3,95,1,matcomplete,0.0329428619438904,knn,0.05
0.3,95,1,ensemble,0.03274329002206935,knn,0.05
0.3,95,2,combined,0.05281474317751969,knn,0.15000000000000002
0.3,95,2,matcomplete,0.036977895839157685,knn,0.15000000000000002
0.3,95,2,ensemble,0.037353553425360425,knn,0.15000000000000002
0.3,95,3,combined,0.04923599068475441,knn,0.25
0.3,95,3,matcomplete,0.0395772931959761,knn,0.25
0.3,95,3,ensemble,0.0375545788338866,knn,0.25
0.3,95,4,combined,0.05183808847567185,knn,0.05
0.3,95,4,matcomplete,0.0433909040546545,knn,0.05
0.3,95,4,ensemble,0.042393516091908584,knn,0.05
0.3,95,5,combined,0.052325684431919026,knn,0.25
0.3,95,5,matcomplete,0.036087237335993824,knn,0.25
0.3,95,5,ensemble,0.03669403784678753,knn,0.25
0.3,95,6,combined,0.05204043941056177,knn,0.1
0.3,95,6,matcomplete,0.03774405453940917,knn,0.1
0.3,95,6,ensemble,0.037425440110196787,knn,0.1
0.3,95,7,combined,0.052887170032877386,knn,0.30000000000000004
0.3,95,7,matcomplete,0.03717584749354706,knn,0.30000000000000004
0.3,95,7,ensemble,0.03858414972459609,knn,0.30000000000000004
0.3,95,8,combined,0.050087457697356626,knn,0.25
0.3,95,8,matcomplete,0.03660370690085295,knn,0.25
0.3,95,8,ensemble,0.03726553471536318,knn,0.25
0.3,95,9,combined,0.05220156432075972,knn,0.05
0.3,95,9,matcomplete,0.0390617073025324,knn,0.05
