obs_prob,n_models,seed,method,mae,predictor,alpha
0.2,95,14,ensemble,0.1007868771121524,knn,0.05
0.2,95,15,combined,0.1499364118006089,knn,0.1
0.2,95,15,matcomplete,0.0997607407157989,knn,0.1
0.2,95,15,ensemble,0.09987492413546657,knn,0.1
0.2,95,16,combined,0.14932477366749486,knn,0.1
0.2,95,16,matcomplete,0.08484497772146402,knn,0.1
0.2,95,16,ensemble,0.08631154405649558,knn,0.1
0.2,95,17,combined,0.1422450182504507,knn,0.1
0.2,95,17,matcomplete,0.11987890064266668,knn,0.1
0.2,95,17,ensemble,0.11654873764281666,knn,0.1
0.2,95,18,combined,0.15628376923442633,knn,0.1
0.2,95,18,matcomplete,0.08637792843667674,knn,0.1
0.2,95,18,ensemble,0.08714325903593666,knn,0.1
0.2,95,19,combined,0.14689042116203202,knn,0.0
0.2,95,19,matcomplete,0.09708612594849184,knn,0.0
0.2,95,19,ensemble,0.09708612594849184,knn,0.0
0.3,95,0,combined,0.13569189326667447,knn,0.05
0.3,95,0,matcomplete,0.07402724104634603,knn,0.05
0.3,95,0,ensemble,0.07414780231750877,knn,0.05
0.3,95,1,combined,0.12981971257558844,knn,0.2
0.3,95,1,matcomplete,0.07892170093958903,knn,0.2
0.3,95,1,ensemble,0.08060385221438984,knn,0.2
0.3,95,2,combined,0.1365947908909066,knn,0.1
0.3,95,2,matcomplete,0.07819292256931769,knn,0.1
0.3,95,2,ensemble,0.08051819635303746,knn,0.1
0.3,95,3,combined,0.12674422819572045,knn,0.1
0.3,95,3,matcomplete,0.08381888470232163,knn,0.1
0.3,95,3,ensemble,0.08325037234772875,knn,0.1
0.3,95,4,combined,0.13745054213919236,knn,0.25
0.3,95,4,matcomplete,0.09992617092897398,knn,0.25
0.3,95,4,ensemble,0.09882459175268746,knn,0.25
0.3,95,5,combined,0.13233349576914266,knn,0.05
0.3,95,5,matcomplete,0.08100632824859325,knn,0.05
0.3,95,5,ensemble,0.07951909252811885,knn,0.05
0.3,95,6,combined,0.1373469910170393,knn,0.15000000000000002
0.3,95,6,matcomplete,0.09230968242694898,knn,0.15000000000000002
0.3,95,6,ensemble,0.09278928846963881,knn,0.15000000000000002
0.3,95,7,combined,0.1384201693252336,knn,0.15000000000000002
0.3,95,7,matcomplete,0.08153795775746735,knn,0.15000000000000002
0.3,95,7,ensemble,0.08240552625145839,knn,0.15000000000000002
0.3,95,8,combined,0.13923911800761973,knn,0.15000000000000002
0.3,95,8,matcomplete,0.0870813560854307,knn,0.15000000000000002
0.3,95,8,ensemble,0.08886652746576496,knn,0.15000000000000002
0.3,95,9,combined,0.14434671110770333,knn,0.1
0.3,95,9,matcomplete,0.0914958479079014,knn,0.1
0.3,95,9,ensemble,0.09179040637810157,knn,0.1
0.3,95,10,combined,0.1321969777658592,knn,0.0
0.3,95,10,matcomplete,0.08402096262199321,knn,0.0
0.3,95,10,ensemble,0.08402096262199321,knn,0.0
0.3,95,11,combined,0.1311860342374317,knn,0.0
0.3,95,11,matcomplete,0.07670848109178693,knn,0.0
0.3,95,11,ensemble,0.07670848109178693,knn,0.0
0.3,95,12,combined,0.12947402156822355,knn,0.05
0.3,95,12,matcomplete,0.09147380037201681,knn,0.05
0.3,95,12,ensemble,0.09044549907036287,knn,0.05
0.3,95,13,combined,0.14452458460509396,knn,0.05
0.3,95,13,matcomplete,0.08283296671877712,knn,0.05
0.3,95,13,ensemble,0.08285025616204285,knn,0.05
0.3,95,14,combined,0.13506949009868077,knn,0.15000000000000002
0.3,95,14,matcomplete,0.08741506519960099,knn,0.15000000000000002
0.3,95,14,ensemble,0.08596486896642876,knn,0.15000000000000002
0.3,95,15,combined,0.14508350319650293,knn,0.2
0.3,95,15,matcomplete,0.09378778291278093,knn,0.2
0.3,95,15,ensemble,0.09546553029263295,knn,0.2
