obs_prob,n_models,query_obs,seed,method,mae,predictor,alpha
0.4,95,2,14,matcomplete,0.25028228272007375,knn,0.55
0.4,95,2,14,ensemble,0.23368779449034782,knn,0.55
0.4,95,4,0,combined,0.19963299118871541,knn,0.4
0.4,95,4,0,matcomplete,0.22041164840188532,knn,0.4
0.4,95,4,0,ensemble,0.19690160071796114,knn,0.4
0.4,95,4,1,combined,0.1893959957808394,knn,0.75
0.4,95,4,1,matcomplete,0.18343751067232195,knn,0.75
0.4,95,4,1,ensemble,0.17522285343207902,knn,0.75
0.4,95,4,2,combined,0.19209459496210027,knn,0.30000000000000004
0.4,95,4,2,matcomplete,0.19741470912955864,knn,0.30000000000000004
0.4,95,4,2,ensemble,0.1806088572692176,knn,0.30000000000000004
0.4,95,4,3,combined,0.20160890206390328,knn,0.45
0.4,95,4,3,matcomplete,0.20010267130375492,knn,0.45
0.4,95,4,3,ensemble,0.1853597855443384,knn,0.45
0.4,95,4,4,combined,0.20371418054909038,knn,0.5
0.4,95,4,4,matcomplete,0.20837565911327405,knn,0.5
0.4,95,4,4,ensemble,0.18406120553998834,knn,0.5
0.4,95,4,5,combined,0.18710282620062507,knn,0.5
0.4,95,4,5,matcomplete,0.17712839548144216,knn,0.5
0.4,95,4,5,ensemble,0.16187434749764698,knn,0.5
0.4,95,4,6,combined,0.21099971746583476,knn,0.5
0.4,95,4,6,matcomplete,0.1942631764325273,knn,0.5
0.4,95,4,6,ensemble,0.18463768867087774,knn,0.5
0.4,95,4,7,combined,0.20627434921357718,knn,0.35000000000000003
0.4,95,4,7,matcomplete,0.22126251406524847,knn,0.35000000000000003
0.4,95,4,7,ensemble,0.1980018258799154,knn,0.35000000000000003
0.4,95,4,8,combined,0.21706229158271598,knn,0.25
0.4,95,4,8,matcomplete,0.20247765527962538,knn,0.25
0.4,95,4,8,ensemble,0.19250307428460314,knn,0.25
0.4,95,4,9,combined,0.19016220910316725,knn,0.65
0.4,95,4,9,matcomplete,0.21531357399209478,knn,0.65
0.4,95,4,9,ensemble,0.1772309478045831,knn,0.65
0.4,95,4,10,combined,0.20099696257988534,knn,0.25
0.4,95,4,10,matcomplete,0.1823155953954715,knn,0.25
0.4,95,4,10,ensemble,0.16844762703445101,knn,0.25
0.4,95,4,11,combined,0.2023524937767801,knn,0.45
0.4,95,4,11,matcomplete,0.22697550085801416,knn,0.45
0.4,95,4,11,ensemble,0.2012460873603324,knn,0.45
0.4,95,4,12,combined,0.20250600975908895,knn,0.75
0.4,95,4,12,matcomplete,0.21161559328838986,knn,0.75
0.4,95,4,12,ensemble,0.18773421021905765,knn,0.75
0.4,95,4,13,combined,0.18989207228491192,knn,0.5
0.4,95,4,13,matcomplete,0.19942687638090853,knn,0.5
0.4,95,4,13,ensemble,0.1806555285557825,knn,0.5
0.4,95,4,14,combined,0.20481966668631832,knn,0.45
0.4,95,4,14,matcomplete,0.2067971115653551,knn,0.45
0.4,95,4,14,ensemble,0.18934810428077373,knn,0.45
0.4,95,8,0,combined,0.15689982881323983,knn,0.75
0.4,95,8,0,matcomplete,0.17501604184470682,knn,0.75
0.4,95,8,0,ensemble,0.1464744720130778,knn,0.75
0.4,95,8,1,combined,0.148926329086481,knn,0.4
0.4,95,8,1,matcomplete,0.1571684699302426,knn,0.4
0.4,95,8,1,ensemble,0.14201574405424328,knn,0.4
0.4,95,8,2,combined,0.14944677303385098,knn,0.35000000000000003
0.4,95,8,2,matcomplete,0.1599910116698566,knn,0.35000000000000003
0.4,95,8,2,ensemble,0.1432173154697235,knn,0.35000000000000003
0.4,95,8,3,combined,0.14435197296595972,knn,0.4
0.4,95,8,3,matcomplete,0.14732503532307045,knn,0.4
0.4,95,8,3,ensemble,0.13072046463678777,knn,0.4
0.4,95,8,4,combined,0.16202229185572123,knn,0.55
0.4,95,8,4,matcomplete,0.16993507548612447,knn,0.55
0.4,95,8,4,ensemble,0.14534220813330695,knn,0.55
0.4,95,8,5,combined,0.12998538975509585,knn,0.8
0.4,95,8,5,matcomplete,0.14212131989000826,knn,0.8
0.4,95,8,5,ensemble,0.12394623148491159,knn,0.8
0.4,95,8,6,combined,0.14161829268280532,knn,0.65
0.4,95,8,6,matcomplete,0.1309407480396335,knn,0.65
0.4,95,8,6,ensemble,0.12815050241266945,knn,0.65
0.4,95,8,7,combined,0.1545926171685918,knn,0.5
0.4,95,8,7,matcomplete,0.16755170954220147,knn,0.5
0.4,95,8,7,ensemble,0.1423227719712332,knn,0.5
0.4,95,8,8,combined,0.1664521961031498,knn,0.5
0.4,95,8,8,matcomplete,0.15105703256820419,knn,0.5
0.4,95,8,8,ensemble,0.13883940494060926,knn,0.5
0.4,95,8,9,combined,0.15297745001705507,knn,0.7000000000000001
0.4,95,8,9,matcomplete,0.14769571465882572,knn,0.7000000000000001
0.4,95,8,9,ensemble,0.139604095913252,knn,0.7000000000000001
0.4,95,8,10,combined,0.1520940636127144,knn,0.35000000000000003
0.4,95,8,10,matcomplete,0.16417426488403453,knn,0.35000000000000003
0.4,95,8,10,ensemble,0.14299706138325463,knn,0.35000000000000003
0.4,95,8,11,combined,0.1569102701777034,knn,0.6000000000000001
0.4,95,8,11,matcomplete,0.16520930326499123,knn,0.6000000000000001
0.4,95,8,11,ensemble,0.1423117560920931,knn,0.6000000000000001
0.4,95,8,12,combined,0.1664345408383099,knn,0.75
0.4,95,8,12,matcomplete,0.16025473954961514,knn,0.75
0.4,95,8,12,ensemble,0.14575595050995005,knn,0.75
0.4,95,8,13,combined,0.1542218832437962,knn,0.55
0.4,95,8,13,matcomplete,0.16193400369616284,knn,0.55
0.4,95,8,13,ensemble,0.1391700014131172,knn,0.55
0.4,95,8,14,combined,0.1532550530807367,knn,0.35000000000000003
0.4,95,8,14,matcomplete,0.138415209629566,knn,0.35000000000000003
0.4,95,8,14,ensemble,0.12952261320660505,knn,0.35000000000000003
0.4,95,16,0,combined,0.11400730132229368,knn,0.6000000000000001
0.4,95,16,0,matcomplete,0.12668017887928157,knn,0.6000000000000001
0.4,95,16,0,ensemble,0.1067403226715146,knn,0.6000000000000001
0.4,95,16,1,combined,0.12050097547003258,knn,0.55
0.4,95,16,1,matcomplete,0.12441848909324822,knn,0.55
0.4,95,16,1,ensemble,0.10917632280257186,knn,0.55
0.4,95,16,2,combined,0.12428991605588594,knn,0.4
0.4,95,16,2,matcomplete,0.11499804624300121,knn,0.4
0.4,95,16,2,ensemble,0.10131226820018152,knn,0.4
0.4,95,16,3,combined,0.11565845908401111,knn,0.5
0.4,95,16,3,matcomplete,0.11948091273334843,knn,0.5
0.4,95,16,3,ensemble,0.09791117985617374,knn,0.5
0.4,95,16,4,combined,0.1295046536297992,knn,0.55
0.4,95,16,4,matcomplete,0.1336293269265429,knn,0.55
0.4,95,16,4,ensemble,0.1138857433617336,knn,0.55
0.4,95,16,5,combined,0.12088607017570825,knn,0.6000000000000001
0.4,95,16,5,matcomplete,0.11838927857017874,knn,0.6000000000000001
0.4,95,16,5,ensemble,0.10990620343667488,knn,0.6000000000000001
0.4,95,16,6,combined,0.11570494274979241,knn,0.7000000000000001
0.4,95,16,6,matcomplete,0.10942434671942539,knn,0.7000000000000001
0.4,95,16,6,ensemble,0.10691098110977514,knn,0.7000000000000001
0.4,95,16,7,combined,0.10924437214797228,knn,0.55
0.4,95,16,7,matcomplete,0.1274368382700859,knn,0.55
0.4,95,16,7,ensemble,0.09745711477259403,knn,0.55
0.4,95,16,8,combined,0.11189942813293008,knn,0.55
0.4,95,16,8,matcomplete,0.11044111592672949,knn,0.55
0.4,95,16,8,ensemble,0.09838781041834785,knn,0.55
0.4,95,16,9,combined,0.10039306789367901,knn,0.75
0.4,95,16,9,matcomplete,0.11437575709795854,knn,0.75
0.4,95,16,9,ensemble,0.09625012409944209,knn,0.75
0.4,95,16,10,combined,0.11767093443563957,knn,0.5
0.4,95,16,10,matcomplete,0.1257676050997817,knn,0.5
0.4,95,16,10,ensemble,0.11005666956454256,knn,0.5
0.4,95,16,11,combined,0.12495095095370619,knn,0.55
0.4,95,16,11,matcomplete,0.12059777219791393,knn,0.55
0.4,95,16,11,ensemble,0.1049944629164119,knn,0.55
0.4,95,16,12,combined,0.117472456152744,knn,0.65
0.4,95,16,12,matcomplete,0.12589350854153003,knn,0.65
0.4,95,16,12,ensemble,0.10448195999341699,knn,0.65
0.4,95,16,13,combined,0.12202439195007794,knn,0.7000000000000001
0.4,95,16,13,matcomplete,0.11278445952115172,knn,0.7000000000000001
0.4,95,16,13,ensemble,0.10837325760876979,knn,0.7000000000000001
0.4,95,16,14,combined,0.12336214355555424,knn,0.4
0.4,95,16,14,matcomplete,0.10721777339051064,knn,0.4
0.4,95,16,14,ensemble,0.10226685437009016,knn,0.4
0.4,95,32,0,combined,0.09094241007615167,knn,0.55
0.4,95,32,0,matcomplete,0.11014031519947544,knn,0.55
0.4,95,32,0,ensemble,0.08609354109896336,knn,0.55
0.4,95,32,1,combined,0.09032025784019308,knn,0.5
0.4,95,32,1,matcomplete,0.10731112925198595,knn,0.5
0.4,95,32,1,ensemble,0.08622300816372919,knn,0.5
0.4,95,32,2,combined,0.08862862004127381,knn,0.35000000000000003
0.4,95,32,2,matcomplete,0.08770587831710443,knn,0.35000000000000003
0.4,95,32,2,ensemble,0.07964803488665219,knn,0.35000000000000003
0.4,95,32,3,combined,0.08629868927225033,knn,0.4
0.4,95,32,3,matcomplete,0.09494587923976383,knn,0.4
0.4,95,32,3,ensemble,0.07990952021493514,knn,0.4
0.4,95,32,4,combined,0.10308342142111364,knn,0.7000000000000001
