obs_prob,n_models,query_obs,seed,method,mae,predictor,alpha
0.4,95,2,13,ensemble,0.10602308708301703,knn,0.75
0.4,95,2,14,combined,0.11618497570137865,knn,0.4
0.4,95,2,14,matcomplete,0.1160557375244991,knn,0.4
0.4,95,2,14,ensemble,0.1099416362593351,knn,0.4
0.4,95,4,0,combined,0.09945702624412532,knn,0.30000000000000004
0.4,95,4,0,matcomplete,0.10544700984107938,knn,0.30000000000000004
0.4,95,4,0,ensemble,0.10057500495564922,knn,0.30000000000000004
0.4,95,4,1,combined,0.0857706935450958,knn,0.4
0.4,95,4,1,matcomplete,0.08525902943415255,knn,0.4
0.4,95,4,1,ensemble,0.07992912876557885,knn,0.4
0.4,95,4,2,combined,0.09521045410998658,knn,0.55
0.4,95,4,2,matcomplete,0.09767853079648006,knn,0.55
0.4,95,4,2,ensemble,0.09048134906456601,knn,0.55
0.4,95,4,3,combined,0.08186393018841398,knn,0.4
0.4,95,4,3,matcomplete,0.07610650409466808,knn,0.4
0.4,95,4,3,ensemble,0.07280091358742888,knn,0.4
0.4,95,4,4,combined,0.09824490310177926,knn,0.65
0.4,95,4,4,matcomplete,0.09064857813014285,knn,0.65
0.4,95,4,4,ensemble,0.0880658931661933,knn,0.65
0.4,95,4,5,combined,0.09608866541560598,knn,0.7000000000000001
0.4,95,4,5,matcomplete,0.08770576084140441,knn,0.7000000000000001
0.4,95,4,5,ensemble,0.090717907058137,knn,0.7000000000000001
0.4,95,4,6,combined,0.08751740227263774,knn,0.6000000000000001
0.4,95,4,6,matcomplete,0.08257781960030415,knn,0.6000000000000001
0.4,95,4,6,ensemble,0.08043707024615311,knn,0.6000000000000001
0.4,95,4,7,combined,0.08909373669779506,knn,0.8500000000000001
0.4,95,4,7,matcomplete,0.07516753386027078,knn,0.8500000000000001
0.4,95,4,7,ensemble,0.08482264164400923,knn,0.8500000000000001
0.4,95,4,8,combined,0.08990851443465847,knn,0.25
0.4,95,4,8,matcomplete,0.08364908522857283,knn,0.25
0.4,95,4,8,ensemble,0.08029267212505914,knn,0.25
0.4,95,4,9,combined,0.08748727606515534,knn,0.30000000000000004
0.4,95,4,9,matcomplete,0.08523427680763886,knn,0.30000000000000004
0.4,95,4,9,ensemble,0.08265854735134519,knn,0.30000000000000004
0.4,95,4,10,combined,0.0948051691717762,knn,0.2
0.4,95,4,10,matcomplete,0.08431051238768988,knn,0.2
0.4,95,4,10,ensemble,0.08435146689157969,knn,0.2
0.4,95,4,11,combined,0.10239541461321344,knn,0.2
0.4,95,4,11,matcomplete,0.1010506516016743,knn,0.2
0.4,95,4,11,ensemble,0.09828953324150365,knn,0.2
0.4,95,4,12,combined,0.08330108204802032,knn,0.30000000000000004
0.4,95,4,12,matcomplete,0.09114982280817227,knn,0.30000000000000004
0.4,95,4,12,ensemble,0.08487097865305057,knn,0.30000000000000004
0.4,95,4,13,combined,0.09279074924060483,knn,0.4
0.4,95,4,13,matcomplete,0.09022995942179092,knn,0.4
0.4,95,4,13,ensemble,0.0858537756149876,knn,0.4
0.4,95,4,14,combined,0.09917654297644511,knn,0.8
0.4,95,4,14,matcomplete,0.08670270942065778,knn,0.8
0.4,95,4,14,ensemble,0.0936457282119154,knn,0.8
0.4,95,8,0,combined,0.07092318926464364,knn,0.2
0.4,95,8,0,matcomplete,0.07148580359968722,knn,0.2
0.4,95,8,0,ensemble,0.06956474473430713,knn,0.2
0.4,95,8,1,combined,0.06974396065956144,knn,0.4
0.4,95,8,1,matcomplete,0.06474810312742242,knn,0.4
0.4,95,8,1,ensemble,0.06225035842555163,knn,0.4
0.4,95,8,2,combined,0.07408937058251763,knn,0.55
0.4,95,8,2,matcomplete,0.0697952221887564,knn,0.55
0.4,95,8,2,ensemble,0.06863782212535413,knn,0.55
0.4,95,8,3,combined,0.06693787034208791,knn,0.35000000000000003
0.4,95,8,3,matcomplete,0.0667684717148605,knn,0.35000000000000003
0.4,95,8,3,ensemble,0.06276423587284538,knn,0.35000000000000003
0.4,95,8,4,combined,0.07887740840633599,knn,0.35000000000000003
0.4,95,8,4,matcomplete,0.06612755565453272,knn,0.35000000000000003
0.4,95,8,4,ensemble,0.062445296396537085,knn,0.35000000000000003
0.4,95,8,5,combined,0.08923489228575215,knn,0.5
0.4,95,8,5,matcomplete,0.0781833939186794,knn,0.5
0.4,95,8,5,ensemble,0.08002017039695829,knn,0.5
0.4,95,8,6,combined,0.06828840631994182,knn,0.1
0.4,95,8,6,matcomplete,0.06518036300894983,knn,0.1
0.4,95,8,6,ensemble,0.06394707490625437,knn,0.1
0.4,95,8,7,combined,0.07437787341681382,knn,0.7000000000000001
0.4,95,8,7,matcomplete,0.0749270967982028,knn,0.7000000000000001
0.4,95,8,7,ensemble,0.07017677824859347,knn,0.7000000000000001
0.4,95,8,8,combined,0.08043566347311204,knn,0.30000000000000004
0.4,95,8,8,matcomplete,0.07324446191121226,knn,0.30000000000000004
0.4,95,8,8,ensemble,0.07209640311155296,knn,0.30000000000000004
0.4,95,8,9,combined,0.0673598965825202,knn,0.05
0.4,95,8,9,matcomplete,0.0571939047839959,knn,0.05
0.4,95,8,9,ensemble,0.056769132794105726,knn,0.05
0.4,95,8,10,combined,0.07153689162016912,knn,0.15000000000000002
0.4,95,8,10,matcomplete,0.06361321271555799,knn,0.15000000000000002
0.4,95,8,10,ensemble,0.06330015397364738,knn,0.15000000000000002
0.4,95,8,11,combined,0.07349919892636304,knn,0.15000000000000002
0.4,95,8,11,matcomplete,0.06676492729399185,knn,0.15000000000000002
0.4,95,8,11,ensemble,0.06585226374138435,knn,0.15000000000000002
0.4,95,8,12,combined,0.07112507212742848,knn,0.35000000000000003
0.4,95,8,12,matcomplete,0.06669759358617831,knn,0.35000000000000003
0.4,95,8,12,ensemble,0.06396857209272462,knn,0.35000000000000003
0.4,95,8,13,combined,0.07023825494108762,knn,1.0
0.4,95,8,13,matcomplete,0.06595242845283247,knn,1.0
0.4,95,8,13,ensemble,0.07023825494108762,knn,1.0
