obs_prob,n_models,seed,method,mae,predictor,alpha
0.3,20,16,matcomplete,0.19869690492389389,knn,0.35000000000000003
0.3,20,16,ensemble,0.16958654257346456,knn,0.35000000000000003
0.3,20,17,combined,0.13638225688778605,knn,0.25
0.3,20,17,matcomplete,0.09795370580047842,knn,0.25
0.3,20,17,ensemble,0.08838113343792618,knn,0.25
0.3,20,18,combined,0.1458145205080297,knn,0.55
0.3,20,18,matcomplete,0.12317528512413398,knn,0.55
0.3,20,18,ensemble,0.1279565694612672,knn,0.55
0.3,20,19,combined,0.1586562477415053,knn,0.4
0.3,20,19,matcomplete,0.13068472402716633,knn,0.4
0.3,20,19,ensemble,0.12270594232317227,knn,0.4
0.3,40,0,combined,0.128596806103335,knn,0.2
0.3,40,0,matcomplete,0.09083965717771877,knn,0.2
0.3,40,0,ensemble,0.08389609413556418,knn,0.2
0.3,40,1,combined,0.14015087698301595,knn,0.25
0.3,40,1,matcomplete,0.11511310871588043,knn,0.25
0.3,40,1,ensemble,0.1137982371986572,knn,0.25
0.3,40,2,combined,0.17474894597444404,knn,0.35000000000000003
0.3,40,2,matcomplete,0.10377709925636526,knn,0.35000000000000003
0.3,40,2,ensemble,0.11757152038818401,knn,0.35000000000000003
0.3,40,3,combined,0.13553258219966635,knn,0.4
0.3,40,3,matcomplete,0.10014777899518966,knn,0.4
0.3,40,3,ensemble,0.09941045082822457,knn,0.4
0.3,40,4,combined,0.1319613436795173,knn,0.30000000000000004
0.3,40,4,matcomplete,0.08077298352026616,knn,0.30000000000000004
0.3,40,4,ensemble,0.0860424789887156,knn,0.30000000000000004
0.3,40,5,combined,0.13389695931209666,knn,0.15000000000000002
0.3,40,5,matcomplete,0.10073902562684521,knn,0.15000000000000002
0.3,40,5,ensemble,0.0959456968471325,knn,0.15000000000000002
0.3,40,6,combined,0.1596352777593172,knn,0.2
0.3,40,6,matcomplete,0.13996105937858763,knn,0.2
0.3,40,6,ensemble,0.13528513588646,knn,0.2
0.3,40,7,combined,0.14739666808884466,knn,0.35000000000000003
0.3,40,7,matcomplete,0.11467692631098217,knn,0.35000000000000003
0.3,40,7,ensemble,0.11194616632694875,knn,0.35000000000000003
0.3,40,8,combined,0.14789937701963224,knn,0.15000000000000002
0.3,40,8,matcomplete,0.09816957941758137,knn,0.15000000000000002
0.3,40,8,ensemble,0.09541986681725184,knn,0.15000000000000002
0.3,40,9,combined,0.13509441284077603,knn,0.25
0.3,40,9,matcomplete,0.09861536211140132,knn,0.25
0.3,40,9,ensemble,0.10057167573062042,knn,0.25
0.3,40,10,combined,0.12577187917078153,knn,0.2
0.3,40,10,matcomplete,0.10053743747237391,knn,0.2
0.3,40,10,ensemble,0.09697751057093049,knn,0.2
0.3,40,11,combined,0.1477900594932101,knn,0.2
0.3,40,11,matcomplete,0.11000172667863799,knn,0.2
0.3,40,11,ensemble,0.10939783106055667,knn,0.2
0.3,40,12,combined,0.12502066921235253,knn,0.05
0.3,40,12,matcomplete,0.08113040301195557,knn,0.05
0.3,40,12,ensemble,0.08094887003059617,knn,0.05
0.3,40,13,combined,0.14798566089847942,knn,0.45
0.3,40,13,matcomplete,0.10769726584835528,knn,0.45
0.3,40,13,ensemble,0.11498960284917199,knn,0.45
0.3,40,14,combined,0.14526599932493492,knn,0.45
0.3,40,14,matcomplete,0.12370414258057759,knn,0.45
0.3,40,14,ensemble,0.12037121399740174,knn,0.45
0.3,40,15,combined,0.15359452278376598,knn,0.15000000000000002
0.3,40,15,matcomplete,0.09652704304472642,knn,0.15000000000000002
0.3,40,15,ensemble,0.09582691416780822,knn,0.15000000000000002
0.3,40,16,combined,0.15546935664283257,knn,0.25
0.3,40,16,matcomplete,0.09151289634205241,knn,0.25
0.3,40,16,ensemble,0.09396521528146225,knn,0.25
0.3,40,17,combined,0.1339073126456462,knn,0.25
0.3,40,17,matcomplete,0.1016628997141467,knn,0.25
0.3,40,17,ensemble,0.09891625687835791,knn,0.25
0.3,40,18,combined,0.13560591664384408,knn,0.45
0.3,40,18,matcomplete,0.11717680581316023,knn,0.45
0.3,40,18,ensemble,0.11355411779060845,knn,0.45
0.3,40,19,combined,0.13601055676478224,knn,0.05
0.3,40,19,matcomplete,0.09263516031957401,knn,0.05
0.3,40,19,ensemble,0.09190982715838755,knn,0.05
0.3,60,0,combined,0.13826675520965256,knn,0.0
0.3,60,0,matcomplete,0.09534937916496247,knn,0.0
0.3,60,0,ensemble,0.09534937916496247,knn,0.0
0.3,60,1,combined,0.14307553007304177,knn,0.1
0.3,60,1,matcomplete,0.0811587977474713,knn,0.1
0.3,60,1,ensemble,0.08172133486082325,knn,0.1
0.3,60,2,combined,0.13741939196952876,knn,0.30000000000000004
0.3,60,2,matcomplete,0.07933915510738014,knn,0.30000000000000004
0.3,60,2,ensemble,0.08775458677873064,knn,0.30000000000000004
0.3,60,3,combined,0.1431433374721764,knn,0.15000000000000002
0.3,60,3,matcomplete,0.09579196176396196,knn,0.15000000000000002
0.3,60,3,ensemble,0.09519243470805298,knn,0.15000000000000002
0.3,60,4,combined,0.12154450451085974,knn,0.30000000000000004
0.3,60,4,matcomplete,0.09570978404197851,knn,0.30000000000000004
0.3,60,4,ensemble,0.09509578195464354,knn,0.30000000000000004
0.3,60,5,combined,0.14303189147673592,knn,0.2
0.3,60,5,matcomplete,0.08540212474471764,knn,0.2
0.3,60,5,ensemble,0.08840597788769117,knn,0.2
0.3,60,6,combined,0.13695869656612936,knn,0.25
0.3,60,6,matcomplete,0.0875368434628635,knn,0.25
0.3,60,6,ensemble,0.09187519511383858,knn,0.25
0.3,60,7,combined,0.12575477609844252,knn,0.30000000000000004
0.3,60,7,matcomplete,0.08900421712874151,knn,0.30000000000000004
0.3,60,7,ensemble,0.09034191424461221,knn,0.30000000000000004
0.3,60,8,combined,0.12030324821326506,knn,0.1
0.3,60,8,matcomplete,0.08716714689252927,knn,0.1
0.3,60,8,ensemble,0.08482386381634774,knn,0.1
0.3,60,9,combined,0.1406468433966678,knn,0.2
0.3,60,9,matcomplete,0.09257990414489789,knn,0.2
0.3,60,9,ensemble,0.09479037537495284,knn,0.2
0.3,60,10,combined,0.14196545186340814,knn,0.30000000000000004
0.3,60,10,matcomplete,0.09997758312560347,knn,0.30000000000000004
0.3,60,10,ensemble,0.10020709084065095,knn,0.30000000000000004
0.3,60,11,combined,0.14414772504806278,knn,0.05
0.3,60,11,matcomplete,0.1024700494361219,knn,0.05
0.3,60,11,ensemble,0.10149282539011464,knn,0.05
0.3,60,12,combined,0.1324820744682951,knn,0.1
0.3,60,12,matcomplete,0.09376580421547434,knn,0.1
0.3,60,12,ensemble,0.09325075925386003,knn,0.1
0.3,60,13,combined,0.13914626772659466,knn,0.30000000000000004
0.3,60,13,matcomplete,0.09504818897280252,knn,0.30000000000000004
0.3,60,13,ensemble,0.09461796892683798,knn,0.30000000000000004
0.3,60,14,combined,0.1426923960489603,knn,0.15000000000000002
0.3,60,14,matcomplete,0.09367862103582147,knn,0.15000000000000002
0.3,60,14,ensemble,0.09364146177419054,knn,0.15000000000000002
0.3,60,15,combined,0.1347566512668597,knn,0.2
0.3,60,15,matcomplete,0.09604832808019426,knn,0.2
0.3,60,15,ensemble,0.09592012632754822,knn,0.2
0.3,60,16,combined,0.14100030359072813,knn,0.1
0.3,60,16,matcomplete,0.09738591738524784,knn,0.1
0.3,60,16,ensemble,0.09633068072835287,knn,0.1
0.3,60,17,combined,0.1379351077998338,knn,0.15000000000000002
0.3,60,17,matcomplete,0.07226149703542323,knn,0.15000000000000002
0.3,60,17,ensemble,0.07578171673967925,knn,0.15000000000000002
0.3,60,18,combined,0.13568899201490706,knn,0.1
0.3,60,18,matcomplete,0.09306902818736865,knn,0.1
0.3,60,18,ensemble,0.09198766525109951,knn,0.1
0.3,60,19,combined,0.14204194202296327,knn,0.1
0.3,60,19,matcomplete,0.08807799885428011,knn,0.1
0.3,60,19,ensemble,0.0874204912269887,knn,0.1
0.3,80,0,combined,0.13112015687719902,knn,0.1
0.3,80,0,matcomplete,0.09009496556705728,knn,0.1
0.3,80,0,ensemble,0.08827111045912898,knn,0.1
0.3,80,1,combined,0.13833335903744273,knn,0.1
0.3,80,1,matcomplete,0.09470103845006814,knn,0.1
0.3,80,1,ensemble,0.09317053328084277,knn,0.1
0.3,80,2,combined,0.1354947123878451,knn,0.05
0.3,80,2,matcomplete,0.0873510587204086,knn,0.05
0.3,80,2,ensemble,0.08678279688034146,knn,0.05
0.3,80,3,combined,0.13934136063624974,knn,0.1
0.3,80,3,matcomplete,0.08433673151627818,knn,0.1
0.3,80,3,ensemble,0.08529043207188217,knn,0.1
0.3,80,4,combined,0.13592425061388264,knn,0.05
0.3,80,4,matcomplete,0.07421559609889199,knn,0.05
0.3,80,4,ensemble,0.07423400100002019,knn,0.05
0.3,80,5,combined,0.14160396185608048,knn,0.05
0.3,80,5,matcomplete,0.07682663748697553,knn,0.05
0.3,80,5,ensemble,0.07619210808410459,knn,0.05
0.3,80,6,combined,0.1268402638035741,knn,0.15000000000000002
0.3,80,6,matcomplete,0.07355043047143008,knn,0.15000000000000002
0.3,80,6,ensemble,0.07461162115648173,knn,0.15000000000000002
