p,q,n_models,seed,score_all,pkps_all,mc_all,ens_all,score_obs,ens_obs,score_mis,ens_mis,w_pk,a_mis
0.2,8,95,0,0.1593973460648845,0.15615435189604226,0.17573506689552693,0.15615387192747532,0.10518581785411653,0.1226338983256982,0.17573506689552693,0.16625578178006567,0.9999605775541904,1.0
0.2,8,95,1,0.17806999491959533,0.1799112298842952,0.2002558353893275,0.1799105136445862,0.10507142305144436,0.12846512249274683,0.2002558353893275,0.19554587762210607,0.9999460898629813,1.0
0.2,8,95,2,0.14937766588121856,0.1463461325319191,0.16382259370491162,0.1463456746014541,0.10263866375105257,0.11327353122641062,0.16382259370491162,0.1565667897783868,0.9999629238839144,1.0
0.2,8,95,3,0.16474671749761347,0.1726260497514188,0.18320084501338393,0.16848082966129244,0.10697727483954936,0.11966710836342119,0.18320084501338393,0.1840741017425569,0.6847190665846166,1.0
0.2,8,95,4,0.16927256331467316,0.17845130746571808,0.18635452416857687,0.1730801771321274,0.10579066624059115,0.1237485611952513,0.18635452416857687,0.18635452416857687,0.9999514862246682,0.0
0.2,8,95,5,0.15469717571773905,0.13714792223888486,0.1693781833556377,0.14726771363225868,0.1075878663986592,0.10795978872235598,0.1693781833556377,0.15951752060615337,0.9999462156588683,0.2
0.2,8,95,6,0.15614885535223097,0.16064181645204245,0.17298090373834604,0.1584972706013644,0.0993406920490925,0.10332350829953434,0.17298090373834604,0.17484505202412887,0.8015798051663794,1.0
0.2,8,95,7,0.16717705479962344,0.1642346204171518,0.18478745320696305,0.1666585307875024,0.10824552548878753,0.10599181001126798,0.18478745320696305,0.18478745320696305,0.8992223789358241,0.0
0.2,8,95,8,0.14677903021829555,0.16111866103255573,0.15687846964737473,0.1483944070560938,0.11149923167212028,0.11875751273384885,0.15687846964737473,0.15687846964737473,0.9999603697714541,0.0
0.2,8,95,9,0.15881090040152038,0.1500496052016754,0.17503066099264508,0.15290129013536177,0.10453300875017502,0.10138535388714413,0.17503066099264508,0.16829570077203618,0.9999608335340721,0.30000000000000004
0.2,8,95,10,0.17756934038990457,0.17567564130105467,0.20183305633409296,0.18267334688818482,0.0963731144851696,0.11855719501691045,0.20183305633409296,0.20183305633409296,0.9999487356124653,0.0
0.2,8,95,11,0.1495401749636247,0.14939931216561378,0.16324754369924613,0.14821124190971252,0.10866430891368775,0.11225009187554266,0.16324754369924613,0.1602705030657494,0.9999567306172598,0.8500000000000001
0.35,8,95,0,0.13854447007913104,0.14273417905355,0.1605312245857776,0.13331062829977355,0.09220789866559093,0.1044067726112238,0.1605312245857776,0.1470255398681763,0.7751685215009748,0.7000000000000001
0.35,8,95,1,0.13706955340183033,0.134955612754148,0.15842664646825558,0.12172261772168945,0.09875241584147913,0.0830553898402548,0.15842664646825558,0.1432748430982268,0.5383226601205228,0.5
0.35,8,95,2,0.13098432257961332,0.12569802558355128,0.14826512262428088,0.12163143596335933,0.10097404431274205,0.10194049923731995,0.14826512262428088,0.13297005592645783,0.9360923563696243,0.4
0.35,8,95,3,0.12388406777404384,0.12627559522138096,0.13617434975740858,0.12253198747820748,0.1029506200056299,0.11106051223207757,0.13617434975740858,0.12926703022414535,0.9999511079806085,0.6000000000000001
0.35,8,95,4,0.16090859606544367,0.15977440236589502,0.18785134824699443,0.14795178589575694,0.104902597317683,0.10012564270163525,0.18785134824699443,0.1709594627998333,0.6159224667580985,0.5
0.35,8,95,5,0.13885195170910372,0.1436949874455787,0.15929051892689422,0.13216545555747608,0.10426360718668908,0.0965774706875702,0.15929051892689422,0.15319471934423867,0.6174660875709326,0.9500000000000001
0.35,8,95,6,0.1318202817742301,0.1428967525374818,0.14346699947868805,0.13099124584509483,0.10873575609992339,0.09677769854358517,0.14346699947868805,0.14825283192707822,0.5462090300543206,1.0
0.35,8,95,7,0.13987515119722982,0.13544739080582927,0.16215076531969852,0.1324577336335487,0.09884613544174267,0.1041833963513097,0.16215076531969852,0.14780853392135365,0.8945620790133114,1.0
0.35,8,95,8,0.12195274675089114,0.14443975500400116,0.13498856939667095,0.12385092355512868,0.09746120117397149,0.10292564954980678,0.13498856939667095,0.13498856939667095,0.6442469083422361,0.0
0.35,8,95,9,0.15342856651133074,0.15140250732191646,0.18013744377957414,0.14344306292150297,0.10734480696243544,0.11658697688733362,0.18013744377957414,0.1590081104092401,0.7744940829950102,0.65
0.35,8,95,10,0.14383653515645026,0.14649262436859162,0.16389064798366412,0.14164578487524734,0.10565490549415657,0.10806948644319385,0.16389064798366412,0.1592810425379544,0.8057068453167876,1.0
0.35,8,95,11,0.13489911392222717,0.12887022406896068,0.15721668754341772,0.1227448861214403,0.098088454642654,0.09034250281489246,0.15721668754341772,0.14238980933386422,0.7542409540559474,0.9500000000000001
0.5,8,95,0,0.12518490514111644,0.12975986755023905,0.1478107267854427,0.1211682525608952,0.09943075445915024,0.10747818566582806,0.1478107267854427,0.1331954017257706,0.7847269455232612,1.0
