p,q,n_models,seed,score_all,pkps_all,mc_all,ens_all,score_obs,ens_obs,score_mis,ens_mis,w_pk,a_mis
0.2,8,93,0,0.19599297428980691,0.1899788458459708,0.2158872154920479,0.18063089517892605,0.09814670509058762,0.09674565841869327,0.2210422068700875,0.2021060196047815,0.5639674988078243,1.0
0.2,8,93,1,0.16868962897768555,0.15749796779153596,0.1895488832593465,0.14982599202069963,0.08583466699154409,0.08033594485013736,0.18813455732572468,0.16613435733452903,0.5205482216940378,1.0
0.2,8,93,2,0.1647015046895055,0.1553383072512339,0.18822128825102016,0.14650900480387466,0.08926964414493999,0.08668246522711719,0.1844412148018466,0.16216496953474557,0.5471938681268128,1.0
0.2,8,93,3,0.1569611167834599,0.14861385918499445,0.17644221228208173,0.14010522818531077,0.09117123386347233,0.08900610229750212,0.17455492638251718,0.15377037321439901,0.5538323318911431,1.0
0.2,8,93,4,0.1539507978790674,0.14537323847693273,0.17368368344688706,0.1352253242785945,0.08599515669289562,0.08770073060192593,0.17083828184548172,0.14703554046839346,0.5404193118770411,1.0
0.2,8,93,5,0.15019310542424202,0.1518226460394273,0.1692610949544433,0.14500054214709085,0.09041286535020945,0.0877280129112706,0.16578011602380138,0.1599336959644185,0.46619203083840133,1.0
0.2,8,93,6,0.1714860013640223,0.15883661832764331,0.18997973172699886,0.15084347190466085,0.0909185014604118,0.08842906066230251,0.1895208623519556,0.1648148031703241,0.5025628941834024,1.0
0.2,8,93,7,0.15991058600704935,0.15301280146434687,0.17857895212569638,0.13973457936772862,0.09118180078728426,0.08146415394431411,0.17770042958537832,0.15481736819064404,0.6307722994160045,0.9
0.35,8,93,0,0.15245674945102913,0.14932618395060826,0.18479913117650307,0.1295175834703851,0.09068029223864328,0.08214952392028134,0.18412695852826488,0.15380120893594465,0.5672425248978926,0.9
0.35,8,93,1,0.13385617014729545,0.1365225330741823,0.16190860207130772,0.11894550860595637,0.08794642269869656,0.08405709898293921,0.15834697951034274,0.13755692418853746,0.48770714465418136,0.9
0.35,8,93,2,0.14074562799792326,0.1448262618708367,0.1703669653643491,0.1188228803457654,0.09334498692848053,0.07910572544906853,0.16684014217331622,0.14068756061327042,0.6142261632102303,0.75
0.35,8,93,3,0.1377360205633733,0.13895303115685376,0.17390814885284353,0.11998925212166842,0.09210995738789275,0.07995540202410613,0.16351538647356062,0.1426089391739861,0.5581497730935183,0.9
0.35,8,93,4,0.14102589678174526,0.1364865467212905,0.17124665388148574,0.12056080680846702,0.09860453640529526,0.08866224768652227,0.16236997747429874,0.13661039630378513,0.5075497759959554,0.9
0.35,8,93,5,0.14536297507758716,0.14377582713256012,0.17273750317135506,0.124939204110339,0.09488900666711904,0.08497476989527064,0.17200585520658312,0.14603458582386364,0.530178519992247,0.9
0.35,8,93,6,0.14416329776772116,0.13940348243807646,0.17399215924676095,0.11652690263110206,0.09536059529936772,0.08054904527110297,0.16774261766599474,0.13390982130237825,0.5846414614583872,0.8500000000000001
0.35,8,93,7,0.13595646588184107,0.14274179580521706,0.1623816821241744,0.12301120925163272,0.09532357022103899,0.0867964368862794,0.15850092564903326,0.1431043496811085,0.5416631385307387,0.8500000000000001
0.5,8,93,0,0.120867521640535,0.13355943095001532,0.15753739193112778,0.10581787428591514,0.09800270471806138,0.08112622087426102,0.14274286695349805,0.1294410000060708,0.575899176169085,0.8500000000000001
0.5,8,93,1,0.1267722752357374,0.13523052745197855,0.1602392492484093,0.1062071685865047,0.09325395988502462,0.07766586081128475,0.16033068426509933,0.13478261668202995,0.5395137728687647,0.8
0.5,8,93,2,0.12050512865407854,0.13360382371395976,0.1546114534257019,0.10613522590488164,0.09283041414723749,0.08352218926178066,0.1482129468864063,0.12877531163487627,0.5241801940398777,0.8
0.5,8,93,3,0.11453515139870915,0.12898449412189908,0.15066502256124412,0.09927094168452566,0.08942543811189409,0.07877825136111312,0.14003814935146228,0.1200846018563772,0.5112640483647267,0.75
0.5,8,93,4,0.11120756449970844,0.13364810342882463,0.152990383086253,0.10613745175595711,0.08585690196996529,0.08243137378368617,0.13534541820364124,0.12870939997692918,0.4495784162078485,0.8
